,en,ar,cn,pos
46,0,صفر,〇,num
47,1,واحد,一,num
48,2,إثنان,二,num
49,3,ثلاثة,三,num
50,4,اربعة,四,num
51,5,خمسة,五,num
52,6,ستة,六,num
53,7,سبعة,七,num
54,8,ثمانية,八,num
55,9,تسعة,九,num
56,10,عشرة,十,num
57,11,احد عشر,十一,num
58,12,اثنا عشر,十二,num
59,13,ثلاثة عشر,十三,num
60,14,اربعة عشر,十四,num
61,15,خمسة عشر,十五,num
62,16,ستة عشر,十六,num
63,17,سبعة عشر,十七,num
64,18,ثمانية عشر,十八,num
65,19,تسعة عشر,十九,num
66,20,عشرون,二十,num
67,21,واحد وعشرون,二十一,num
68,22,اثنان وعشرون,二十二,num
69,23,ثلاثة وعشرون,二十三,num
70,30,ثلاثون,三十,num
71,40,اربعون,四十,num
72,50,خمسون,五十,num
73,60,ستون,六十,num
74,70,سبعون,七十,num
75,80,ثمانون,八十,num
76,90,تسعون,九十,num
77,100,مئة,一百,num
456,101,مئة و واحد,一百〇一,num
457,110,مائة وعشرة,一百一十,num
458,111,مائة و أحد عشر,一百一十一,num
78,200,مئتين,二百,num
79,300,ثلاث مئة,三百,num
459,500,خمسمائة,五百,num
80,1000,الف,一千,num
81,2000,الفين,二千,num
460,"10,000",عشرة آلاف,一万,num
461,"10,001",عشرة آلاف واحد,一万〇一,num
462,"10,002",عشرة آلاف واثنان,一万〇二,num
463,"20,000",عشرون الف,二万,num
464,"50,000",خمسون ألف,五万,num
465,"100,000",مئة ألف,十万,num
466,"200,000",مئتي ألف,二十万,num
83,"1,000,000",مليون,一百万,num
467,"10,000,000",عشرة ملايين,一千万,num
468,"100,000,000",مائة مليون,一亿,num
84,"1,000,000,000",مليار‎ بليون,,num
85,"1,000,000,000,000",تريليون,一兆,num
527,"* and * , please.",من فضلك أعطني * و *.,请给我*和*。,vp
170,* day(s),‏* يوم,*天,prt
169,* hour(s),‏* ساعة,*个小时,prt
,* is not working.,,,vp
168,* minute(s),‏* دقيقة,*分钟,prt
172,* month(s),* أشهر,*个月,prt
171,* week(s),‏* أسبوع,*个星期,prt
173,* year(s),‏* سنة,*年,prt
331,a beer,البيرة,啤酒,np
334,a bottle,قارورة,一瓶,np
332,a glass of wine,كأس من النبيذ,一杯葡萄酒,np
333,a pint,نصف لتر,一品脱,np
280,a table for * people,جدول ل * الناس,*人的座位,np
452,abdomen,بطن,腹部,np
103,after,بعد,,adv
,After *.,,,vp
159,afternoon,بعد ظهر,下午,np
,airconditioner,,,np
154,airplane,طائرة,,np
494,airport,,机场,np
392,Am I under arrest?,هل أنا معتقل؟,我被捕了吗？,sent
190,April,نيسان‎ ابريل,四月,np
,Around the corner.,,,sent
194,August,آب‎ أغسطس,八月,np
496,avenue,,大道,np
455,back,ظهر,背,np
227,bars,,,np
253,bathroom,‏حمام,卫生间,np
372,batteries,,,np
312,beans,فول,,np
252,bedsheets,‏شراشف‎ ملايات,,np
286,beef,لحم بقري,牛肉,np
319,beer,بيرة,啤酒,np
