en,cn,ar
Hello,你好,أهلا
Hi,您好,مرحبا 
Welcome,欢迎,السلام عليكم
Good Morning,早上好,صباح الخير
Good Afternoon,下午好,طاب مسائك
Good Evening,晚上好,مساء الخير
What would you like?,你需要什么？,ماذا تحب؟
What is your name?,你叫什么名字？,ما اسمك؟
My name is *,我叫*,اسمي *
Nice to meet you,很高兴见到你,تشرفنا
good,好,جيد
very *,很*,*جدا
Today,今天,اليوم
We have *,有*,لدينا *
Orange,橘子,برتقال
Apple,苹果,تفاح
Mango,芒果,مانجو
How much are *?,*多少钱？,كم هي *؟
What is the price?,多少钱？,ماهو السعر؟
* dollars,*块钱,* دولارات
per *,每QUANT*,لكل *
I would like *,我要*,أود *
* kilograms,*公斤,*كلغ
please,请,من فضلك
okay,好,حسنا
Would you like anything else?,你还需要什么吗？,هل تود شيئا اخر؟
Yes,是的,ايوا
No,不是,لا
"No, thanks",不用了，谢谢,لا شكرا
I don't need it.,不要,أنا لست بحاجة إليها
Good bye,再见,مع السلامة
Right,对,صحيح
Wrong,不对,خاطئ
Thank you,谢谢,شكر
You are welcome,不用谢,عفوا
Do you have *?,有没有*？,هل تمتلك *؟
I do not understand,我听不懂,لا افهم
and,和,و
Sorry,对不起,انا اسف
Do you speak *?,你会说*吗？,هل تتكلم *؟
Help!,帮帮我！,مساعدة!
