id,phrase,pos
p0,أهلا,phrs
p1,مرحبا ,phrs
p2,السلام عليكم,phrs
p3,صباح الخير,phrs
p4,طاب مسائك,phrs
p5,مساء الخير,phrs
p6,ماذا تحب؟,phrs
p7,ما اسمك؟,phrs
p8,اسمي *,vp
p9,تشرفنا,phrs
p10,جيد,adj
p11,*جدا,adv
p12,اليوم,adv
p13,لدينا *,vp
p14,برتقال,np
p15,تفاح,np
p16,مانجو,np
p17,كم هي *؟,vp
p18,ماهو السعر؟,phrs
p19,* دولارات,prt
p20,لكل *,prt
p21,أود *,vp
p22,*كلغ,prt
p23,من فضلك,adv
p24,حسنا,phrs
p25,هل تود شيئا اخر؟,phrs
p26,ايوا,phrs
p27,لا,phrs
p28,لا شكرا,phrs
p29,أنا لست بحاجة إليها,phrs
p30,مع السلامة,phrs
p31,صحيح,adj
p32,خاطئ,adj
p33,شكر,phrs
p34,عفوا,phrs
p35,هل تمتلك *؟,vp
p36,لا افهم,phrs
p37,و,conj
p38,انا اسف,phrs
p39,هل تتكلم *؟,vp
p40,مساعدة!,phrs
