,en,cn,ar,pos
350,coaster,杯垫,السفينة,np
458,dessert plate,甜品碟,لوحة الحلوى,np
583,elder brother,哥哥,الاخ الاكبر,np
635,fare class,座舱等级,الطبقة أجرة,np
707,feet (ft),英尺,قدم,np
737,Go straight following the sign ang you will see the gate.,跟着指示走，你将看到登机口。,,sent
751,DELETE,DELETE,DELETE,DELETE
967,I think * is better.,我想*比较好。,,sent
1085,ID card,身份证,بطاقة التعريف,np
1151,It seems that this food has gone bad.,这道菜好像坏了。,يبدو أن هذا الطعام قد ساء.,sent
1191,DELETE,DELETE,DELETE,sent
1252,Let's get a * first.,我们先去找个*。,دعونا الحصول على * أولا.,sent
1387,MSG,味精,MSG,np
1453,Just show your ticket to the boarding officer as you get on the plane.,您登机时只要向工作人员出示机票就可以了。,فقط اعرض تذكرتك إلى ضابط الصعود بينما تحصل على الطائرة.,sent
1904,taxi pick-up point,出租车乘车点,نقطة التقاط سيارة أجرة,np
2006,This knife is not sharp.,这把刀不锋利了。,هذا السكين ليس حاد.,sent
2010,This is not fresh.,这个不新鲜了。,هذا ليس جديدا.,sent
2011,This meat is burnt.,这份烤肉烧焦了。,هذا اللحم محترق.,sent
2013,This meat is bloody.,肉带血过多。,هذا اللحم دموي.,sent
2014,This meat is dry.,肉太硬/干了。,هذا اللحم جاف.,sent
2015,This meat is underdone.,肉没熟。,هذا اللحم خالي.,sent
2017,This is filthy.,这个好脏。,هذا قذر.,sent
2051,DELETE,DELETE,DELETE,DELETE
2087,U-Turn is allowed.,可以U形转弯,ممنوع الدوران.,sent
2178,Welcome aboard.,欢迎登机,مرحبا بكم على متن.,sent
2198,What do you have to drink?,你们这里有什么喝的?,ماذا لديك للشرب؟,sent
2199,What do you want exactly?,你到底想买些什么?,ماذا تريد بالضبط؟,sent
2200,What does it look like?,它是什么样子的?,كيف تبدو؟,sent
2201,What flavor do you like?,你喜欢什么口味?,ما النكهة التي تحبها؟,sent
2203,What is the boarding time?,什么时候登机呢?,ما هو وقت الصعود؟,sent
2205,"What is the fare, please?",请问票价是多少?,ما هي الأجرة ، من فضلك؟,sent
2209,What is your nationality?,你的国籍是哪儿?,ما هيه جنسيتك؟,sent
2210,What kind of coffee do you have?,你们这儿有什么咖啡?,أي نوع من القهوة لديك؟,sent
2211,What kind of drinks you got?,你们有什么饮料?,أي نوع من المشروبات لديك؟,sent
2212,What kind of room would you like?,你喜欢订哪类房间?,أي نوع من الغرف ترغب به؟,sent
2213,What kind of seats do you want?,你需要什么样的座位?,أي نوع من المقاعد تريد؟,sent
2214,"What kind of tickets do you want, first class or economy?",你要什么类型的票，头等舱还是经济舱?,ما نوع التذاكر التي تريدها ، الدرجة الأولى أو الاقتصاد؟,sent
2215,What kind of work do you do?,你从事哪类工作?,ماهو نوع العمل الذي تقوم به؟,sent
2216,What kinds do you have?,你们都有什么果汁?,ما هي أنواع لديك؟,sent
2217,What should I do about it?,我该怎么做呢?,ما ينبغي علي فعله بشأن ذلك؟,sent
2218,What sort of job do you do at *?,你在*担任什么职务?,ما نوع العمل الذي تقوم به في *؟,vp
2219,What time do I have to be at the airport?,我什么时候到机场?,في أي وقت يجب علي أن أكون في المطار؟,sent
2220,What time do you close?,你们几点开始关门?,في أي وقت تقوم بالإغلاق؟,sent
2221,What time do you open?,你们几点开始营业?,في اي وقت تفتح؟,sent
2222,What time do you start check-in?,你们何时开始办理登机手续？,في أي وقت تبدأ في تسجيل الوصول؟,sent
2223,What time does the inflight movie start?,机上电影什么时候开始播放?,في أي وقت يبدأ فيلم inflight؟,sent
2224,What time does the plane take off?,飞机何时起飞呢?,في أي وقت تقلع الطائرة؟,sent
2227,What time should I check in?,我应该什么时间办理登机手续呢?,في أي وقت يجب عليّ تسجيل الدخول؟,sent
2230,What was the date of the reservation?,保留的日期是什么呢?,ما هو تاريخ الحجز؟,sent
2231,What was your order?,您点的是什么?,ماذا كان طلبك؟,sent
2232,What would you like to drink?,你喝点什么?,ماذا تحب أن تشرب؟,sent
2233,What would you like to have for dinner?,你晚餐吃什么?,ماذا تحب أن تتناول العشاء؟,sent
2235,What would you suggest?,你推荐什么?,ما اقتراحك؟,sent
2237,What's the baggage allowance?,行李限重是多少?,ما هو وزن الأمتعة؟,sent
2238,What's the fare for an economy class ticket?,经济舱的票价是多少?,ما هي أجرة تذكرة الدرجة السياحية؟,sent
