,Unnamed: 0,en,cn,ar,pos,cn_split
0,0,* a.m.,下午*点,* صباحًا,prt,下午 * 点
1,1,* airlines has a flight leaving at *.,*航空公司有一架班机，在*起飞。,,vp,* 航空公司 有 一架 班机 ， 在 * 起飞 。
2,2,"* and * , please.",请给我*和*。,من فضلك أعطني * و *.,vp,请 给 我 * 和 * 。
3,3,* day(s),*天,‏* أيام,prt,* 天
4,4,* dinar,第纳尔,دينار,prt,第纳尔
5,5,* dirham,迪拉姆,درهم,prt,迪拉姆
6,6,* dollar(s),美元,دولار,prt,美元
7,7,* hour(s),*个小时,‏* ساعات,prt,* 个 小时
8,8,* is not working.,坏了,* لا يعمل,vp,坏 了
9,9,* minute(s),*分钟,‏* دقائق,prt,* 分钟
10,10,* month(s),*个月,*  أشهر,prt,* 个 月
11,11,* p.m.,上午*点,* مساءً,prt,上午 * 点
12,12,* people,*个人,* أشخاص,prt,* 个人
13,13,* people.,四口人。,,vp,四口 人 。
14,14,* pound(s),磅,جنيه,prt,磅
15,15,* week(s),*个星期,‏* أسبوع,prt,* 个 星期
16,16,* year(s),*年,‏* سنوات,prt,* 年
17,17,* yuan,*元,* يوان,prt,* 元
18,18,* yuan.,*元。,,vp,* 元 。
19,19,a bottle,一瓶,قارورة,np,一瓶
20,20,A cleaning fee will be charged if you smoke in this room.,,,vp,nan
21,21,A cocktail if possible.,如果可能的话来点鸡尾酒吧。,,sent,如果 可能 的话 来 点 鸡尾酒 吧 。
22,22,A cup of coffee for me.,我要一杯咖啡。,,sent,我要 一杯 咖啡 。
23,23,a glass of wine,一杯酒,كأس من النبيذ,np,一 杯酒
24,24,a pint,一品脱,نصف لتر,np,一品 脱
25,25,A small cup of strong black coffee without milk or cream.,小杯浓的黑咖啡，不加牛奶和奶油。,,sent,小杯 浓 的 黑 咖啡 ， 不 加 牛奶 和 奶油 。
26,27,"A table for *, please.",*位。,,vp,* 位 。
27,28,A waiter will come to take your order.,服务员会过来为您点餐。,,sent,服务员 会 过来 为 您 点餐 。
28,29,abdomen,腹部,بطن,np,腹部
29,30,able,能干的,,np,能干 的
30,31,Abu Dhabi,阿布扎比,أبو ظبي,np,阿布扎比
31,32,Abuja,阿布贾,أبوجا,np,阿布贾
32,33,academic year,学年,,np,学年
33,34,Accessible Guestroom.,残疾人客房。,,sent,残疾人 客房 。
34,35,accompanying number,偕行人数,,np,偕行 人数
35,36,Accra,阿克拉,أكرا,np,阿克拉
36,37,achievements,业绩,,np,业绩
37,38,active,主动的,,np,主动 的
38,39,adaptable,适应性强的,,np,适应性 强 的
39,40,adapted to,适应于,,np,适应 于
40,41,address,地址,,np,地址
41,42,address while in,前往国家的住址,,np,前往 国家 的 住址
42,43,Adelaide,阿德莱德,أديليد,np,阿德莱德
43,44,adopted daughter,养女,,np,养女
44,45,adopted son,养子,,np,养子
45,46,Advance Reservations. Can I help you?,这儿预订房间，需要效劳吗?,,sent,这儿 预订 房间 ， 需要 效劳 吗 ?
46,47,Afghanistan,阿富汗,أفغانستان,np,阿富汗
47,48,after,之后,بعد,adv,之后
48,49,"After landing on the airport, you can turn on you cell phone.",飞机降落在机场后，你就能打开手机了。,,sent,飞机 降落 在 机场 后 ， 你 就 能 打开 手机 了 。
49,50,afternoon,下午,بعد الظهر,np,下午
50,51,age,年龄,,np,年龄
51,52,aggressive,有进取心的,,np,有 进取心 的
52,53,Ahmedabad,艾哈迈达巴德,أحمد أباد,np,艾哈迈 达 巴德
53,54,Air Conditioned.,空调开放。,,sent,空调 开放 。
54,55,air route,航线,,np,航线
55,56,airbus,空中客车,,np,空中客车
56,57,airconditioner,空调,مكيف هواء,np,空调
57,58,airline coach service,航空公司汽车服务处,,np,航空公司 汽车 服务处
58,59,airplane,飞机,طائرة,np,飞机
59,60,airport,机场,مطار,np,机场
60,61,Airport Bus.,机场巴士。,,sent,机场 巴士 。
61,62,airport fee,机场费,,np,机场 费
62,63,Airport Limousine.,机场班车。,,sent,机场 班车 。
63,64,airport lounges,机场休息室,,np,机场 休息室
64,65,airport security,机场安检,,np,机场 安检
65,66,Airport security.,机场安检。,,sent,机场 安检 。
66,67,Airport Shuttle.,机场班车。,,sent,机场 班车 。
67,68,airport terminal,机场候机楼,,np,机场 候机楼
68,69,airports shuttle,机场班车,,np,机场 班车
69,70,airsick,晕机,,np,晕机
70,71,"Aisle, please.",靠过道的。,,sent,靠 过 道 的 。
71,72,Albania,阿尔巴尼亚,ألبانيا,np,阿尔巴尼亚
72,73,Aleppo,阿勒颇,حلب,np,阿勒颇
73,74,Alexandria,亚历山大,الإسكندرية,np,亚历山大
74,75,Algeria,阿尔及利亚,الجزائر,np,阿尔及利亚
75,76,alias,别名,,np,别名
76,77,All bags-packages and persons are subject to search.,所有行李包裹以及个人一律接受安检。,,sent,所有 行李 包裹 以及 个人 一律 接受 安检 。
77,78,All our rooms are full occupied.,我们所有的房间都满了。,,sent,我们 所有 的 房间 都 满 了 。
78,79,"All portable electronic devices, keys, coins and other metal objects should be placed on X-ray belt in separate container.",便携电器、钥匙、硬币、和其他金属物品置放单独盒内后，放X光安检传送带上。,,sent,便携 电器 、 钥匙 、 硬币 、 和 其他 金属 物品 置放 单独 盒内 后 ， 放 X光 安检 传送带 上 。
79,80,All right.,好的。,حسنا.,sent,好 的 。
80,81,All right. Will there be anything else?,好的，还需要别的吗?,,sent,好 的 ， 还 需要 别的 吗 ?
81,82,All the connecting passengers are requested to proceed to Gate *,所有转机旅客请到*号登机门。,,vp,所有 转机 旅客 请 到 * 号 登机 门 。
82,83,All the leaving passengers must go through this gate.,所有旅客都必须从这个检查口通过。,,sent,所有 旅客 都 必须 从 这个 检查 口 通过 。
83,84,altitude,高度,,np,高度
84,85,aluminum foil,铝箔,,np,铝箔
