,en,cn,ar,pos
350,coaste,杯垫,,np
458,desscrt plate,甜品碟,,np
583,elder brothe,哥哥,,np
635,fare class,座舱等级,,np
707,ft,英尺,,np
737,Go straight following the sign ang you will see the gate.,跟着指示走，你将看到登机口。,,sent
751,government-supportedstudent,公费生,,np
967,I think * is better.,我想*比较好。,,sent
1085,ID card,身份证,,np
1151,It seems that this food has gone bad.,这道菜好像坏了。,,sent
1191,Just Let Our Manager On Duty Or Front Desk Staff Know If Any Part Of Your Stay Isn't Satisfactory.,如果某处不尽人意请告诉我们的值班经理或前台服务人员。,,sent
1252,Let's get a * first.,我们先去找个*。,,sent
1387,msg,味精,,np
1453,Just show your ticket to the boarding officer as you get on the plane.,您登机时只要向工作人员出示机票就可以了。,,sent
1904,taxipick-up point,出租车乘车点,,np
2006,This knife is not sparp.,这把刀不锋利了。,,sent
2010,This is not fresh.,这个不新鲜了。,,sent
2011,This meat is burnt.,这份烤肉烧焦了。,,sent
2013,This meat is bloody.,肉带血过多。,,sent
2014,This meat is dry.,肉太硬/干了。,,sent
2015,This meat is underdone.,肉没熟。,,sent
2017,This * is filthy.,这个*好脏。,,sent
2051,toothpick tuble,牙签筒,,np
2087,u turn ok,可以U形转弯,,np
2178,welcome aboard.,欢迎登机,,np
2198,What do you have to drink?,你们这里有什么喝的?,,sent
2199,What do you want exactly?,你到底想买些什么?,,sent
2200,What does it look like?,它是什么样子的?,,sent
2201,What flavor do you like?,你喜欢什么口味?,,sent
2203,What is the boarding time?,什么时候登机呢?,,sent
2205,"What is the fare, please?",请问票价是多少?,,sent
2209,What is your nationality?,你的国籍是哪儿?,,sent
2210,What kind of coffee do you have?,你们这儿有什么咖啡?,,sent
2211,What kind of drinks you got?,你们有什么饮料?,,sent
2212,What kind of room would you like?,你喜欢订哪类房间?,,sent
2213,What kind of seats do you want?,你需要什么样的座位?,,sent
2214,"What kind of tickets do you want, first class or economy?",你要什么类型的票，头等舱还是经济舱?,,sent
2215,What kind of work do you do?,你从事哪类工作?,,sent
2216,What kinds do you have?,你们都有什么果汁?,,sent
2217,What should I do about it?,我该怎么做呢?,,sent
2218,What sort of job do you do at *?,你在*担任什么职务?,,vp
2219,What time do I have to be at the airport?,我什么时候到机场?,,sent
2220,What time do you close?,你们几点开始关门?,,sent
2221,What time do you open?,你们几点开始营业?,,sent
2222,What time do you start check-in?,你们何时开始办理登机手续？,,sent
2223,What time does the inflight movie start?,机上电影什么时候开始播放?,,sent
2224,What time does the plane take off?,飞机何时起飞呢?,,sent
2227,What time should I check in?,我应该什么时间办理登机手续呢?,,sent
2230,What was the date of the reservation?,保留的日期是什么呢?,,sent
2231,What was your order?,您点的是什么?,,sent
2232,What would you like to drink?,你喝点什么?,,sent
2233,What would you like to have for dinner?,你晚餐吃什么?,,sent
2235,What would you suggest?,你推荐什么?,,sent
2237,What's the baggage allowance?,行李限重是多少?,,sent
2238,What's the fare for an economy class ticket?,经济舱的票价是多少?,,sent
2239,What's the fare to * for the economy class?,去*的经济舱机票多少钱?,,vp
2240,What's the gate number?,在几号门?,,sent
2241,What's the price?,房间的价格是多少?,,sent
2242,What's the rate for a standard room?,标准房间多少钱?,,sent
2243,"What's the rate, please?",请问房费是多少?,,sent
2244,What's up?,干嘛?,,sent
2245,What's wrong with you?,你怎么了?,,sent
2246,What's your flight number?,你的班机号是什么?,,sent
2247,What's your job?,你的工作是什么?,,sent
2248,"What's your name, please?",请问你叫什么名字?,,sent
2249,What's your telephone number?,你的电话号码是多少?,,sent
2250,When am I supposed to check in?,我应该什么时候检票呢?,,sent
2251,When are you leaving?,您何时出发?,,sent
2252,When can I start to check in?,我什么时候开始办理登机手续?,,sent
2253,When can I use my electronic devices?,我什么时候才能使用电子设备?,,sent
2255,When do you start to serve dinner?,请问晚餐几点开始供应?,,sent
2257,When does the * close?,*什么时候打烊呢？,,vp
2259,When does your flight land?,飞机什么时候着陆?,,sent
2262,When is the boarding time?,什么时候登机呢?,,sent
2263,When is the plane due?,飞机什么时候着陆?,,sent
2264,When shall I come to pick up the ticket?,我什么时候来取票?,,sent
2265,When will the connecting flight take off?,衔接的航班什么时候起飞?,,sent
2266,"When You Talk, We Listen.",我们随时倾听您的意见。,,sent
2268,Where are our dishes?,我们的菜在那儿呢?,,sent
2269,Where are the dairy products?,乳制品在哪儿?,,sent
2270,Where are the shopping baskets?,购物篮在哪里?,,sent
2274,Where can I find a baggage trolley?,哪里有行李推车。,,sent
2275,Where can I find the diary products?,乳制品在哪儿?,,sent
2276,Where can I get a baggage trolley?,我在哪儿能得到行李车?,,sent
2279,Where can I put my baggage?,我的行李放哪儿呢?,,sent
2280,Where do I board the plane?,我在哪儿登机?,,sent
2281,Where do I go to catch my connecting flight?,我要去哪里赶衔接的航班?,,sent
2282,Where do I pick up the ticket?,我去什么地方拿机票?,,sent
2284,Where do you work?,你在哪里工作?,,sent
2290,Where is my seat?,我的座位在哪儿?,,sent
2291,Where is seat *?,*号座位在哪儿?,,vp
2292,Where is the * Airlines transfer desk?,*航的转机柜台在哪里?,,vp
2294,Where is the baggage claim area?,行李领取处在哪儿?,,sent
2296,Where is the boarding gate for this flight?,这班飞机的登机口在哪儿?,,sent
2298,Where is the check-in counter for * Airlines?,请问*航空公司办理登机手续的柜台在哪里?,,vp
2299,Where is the fruit and vegetable section?,水果蔬菜区在哪里?,,sent
2300,Where is the gate?,登机口在哪儿?,,sent
2301,Where is the lavatory?,请问洗手间在哪里?,,sent
2304,Where is the transfer desk?,转机柜台在哪儿?,,sent
2305,Where would you like to go for dinner?,你想在哪儿吃饭呢?,,sent
2306,Where would you prefer to sit?,你喜欢坐在哪里?,,sent
2309,Which aisle are the canned goods at?,罐头产品在哪条通道?,,sent
2310,Which date would you that be?,要订在哪个日期?,,sent
2312,Which is the movie channel?,哪个是电影频道?,,sent
2313,Which restaurant do you recommend?,你推荐哪家餐厅呢?,,sent
2315,"Which would you like for dinner, beef, chicken or fish?",晚餐想吃牛肉、鸡肉还是鱼?,,sent
2316,"Which would you prefer, first class or economy?",你喜欢哪种，头等舱还是经济舱?,,sent
2317,Whirlpool,热水漩涡池,,sent
2322,Why do you like coffee shop?,你为什么喜欢咖啡店?,,sent
2323,Why does this happen to me when I am on the plane? I feel bad.,为什么在飞机上会有这种感觉? 我感觉很难受。,,sent
2324,Why don't you wrap his steak up?,你为什么不打包他的牛排?,,sent
2325,Why is it taking so long for the food to arrive?,为什么上餐要这么久?,,sent
2326,Why is it taking so long?,为什么会这么久?,,sent
2328,wife,妻子,,np
2329,Wifi Is Available In Public Area In The Hotel.,在酒店的公共场所可以登陆无线英特网。,,sent
2330,Will there be any change in your room type? Your reservation is for a twin room.,您需要变化你的房间类型吗？你预定的是一间双人床的。,,sent
2331,Will this be a one-way trip?,您要单程票吗?,,sent
2332,Will this table be all right?,这张桌行吗?,,sent
2333,Will you give me some discount on tickets?,机票能给我折扣吗?,,sent
2334,Will you please put your suitcase and that box on the belt?,请把你的手提箱和那个盒子放在传送带上好吗?,,sent
