,en,ar,pos_x,cn,pos_y
0,0,صفر,num,零,num
1,1,واحد,num,一,num
2,2,إثنان,num,二,num
3,3,ثلاثة,num,三,num
4,4,أربعة,num,四,num
5,5,خمسة,num,五,num
6,6,ستة,num,六,num
7,7,سبعة,num,七,num
8,8,ثمانية,num,八,num
9,9,تسعة,num,九,num
10,10,عشرة,num,十,num
11,11,إحدى عشر,num,十一,num
12,12,إثنا عشر,num,十二,num
13,13,ثلاثة عشر,num,十三,num
14,14,أربعة عشر,num,十四,num
15,15,خمسة عشر,num,十五,num
16,16,ستة عشر,num,十六,num
17,17,سبعة عشر,num,十七,num
18,18,ثمانية عشر,num,十八,num
19,19,تسعة عشر,num,十九,num
20,20,عشرون,num,二十,num
21,21,واحد وعشرون,num,二十一,num
22,22,إثنان وعشرون,num,二十二,num
23,23,ثلاثة وعشرون,num,二十三,num
24,30,ثلاثون,num,三十,num
25,40,أربعون,num,四十,num
26,50,خمسون,num,五十,num
27,60,ستون,num,六十,num
28,70,سبعون,num,七十,num
29,80,ثمانون,num,八十,num
30,90,تسعون,num,九十,num
31,100,مائة,num,一百,num
32,101,مائة و واحد,num,一百零一,num
33,110,مائة وعشرة,num,一百一十,num
34,111,مائة و أحد عشر,num,一百一十一,num
35,200,مئتين,num,二百,num
36,300,ثلاث مائة,num,三百,num
37,500,خمس مائة,num,五百,num
38,1000,ألف,num,一千,num
39,2000,ألفين,num,二千,num
40,"10,000",عشرة آلاف,num,一万,num
41,"10,001",عشرة آلاف و واحد,num,一万零一,num
42,"10,002",عشرة آلاف وإثنان,num,一万零二,num
43,"20,000",عشرون الف,num,二万,num
44,"50,000",خمسون ألف,num,五万,num
45,"100,000",مائة ألف,num,十万,num
46,"200,000",مئتي ألف,num,二十万,num
47,"1,000,000",مليون,num,一百万,num
48,"10,000,000",عشرة ملايين,num,一千万,num
49,"100,000,000",مائة مليون,num,一亿,num
50,"1,000,000,000",مليار‎,num,十亿,num
51,"1,000,000,000,000",تريليون,num,一兆,num
52,"* and * , please.",من فضلك أعطني * و *.,vp,请给我*和*。,vp
53,* day(s),‏* أيام,prt,*天,prt
54,* hour(s),‏* ساعات,prt,*个小时,prt
55,* is not working.,* لا يعمل,vp,坏了,vp
56,* minute(s),‏* دقائق,prt,*分钟,prt
57,* month(s),*  أشهر,prt,*个月,prt
58,* week(s),‏* أسبوع,prt,*个星期,prt
59,* year(s),‏* سنوات,prt,*年,prt
60,a beer,البيرة,np,啤酒,np
61,a bottle,قارورة,np,一瓶,np
62,a glass of wine,كأس من النبيذ,np,一杯酒,np
63,a pint,نصف لتر,np,一品脱,np
64,a table for * people,طاولة ل * شخص,np,*人的座位,np
65,abdomen,بطن,np,腹部,np
66,after,بعد,adv,之后,adv
68,afternoon,بعد الظهر,np,下午,np
69,airconditioner,مكيف هواء,np,空调,np
70,airplane,طائرة,np,飞机,np
71,airport,مطار,np,机场,np
72,Am I under arrest?,هل أنا معتقل؟,sent,我被捕了吗？,sent
73,April,نيسان‎\ أبريل,np,四月,np
74,Around the corner.,قريب من هنا,sent,转角,sent
75,August,آب‎\ أغسطس,np,八月,np
76,avenue,سبيل,np,大道,np
77,back,ظهر,np,背,np
78,bars,مشرب,np,酒吧,np
79,bathroom,‏حمام,np,卫生间,np
80,batteries,بطارية,np,电池,np
81,beans,فول,np,豆,np
82,bedsheet,ملاءة سرير,np,床单,np
83,bedsheets,ملاءات السرير,np,床单,np
84,beef,لحم بقري,np,牛肉,np
85,beer,بيرة,np,啤酒,np
86,before,قبل,adv,以前,adv
88,bigger,أكبر,adj,更大,adj
89,black,أسود,adj,黑色,adj
90,black pepper,فلفل أسود,np,黑胡椒,np
91,black tea,شاي أسود,np,红茶,np
92,blue,أزرق,adj,蓝色,adj
93,body,الجسم,np,身体,np
94,boiled water,ماء مغلي,np,开水,np
95,bottled water,مياه معبأة,np,矿泉水,np
96,bread,خبز,np,面包,np
97,breakfast,وجبة افطار,np,早饭,np
98,brown,بني,adj,褐色,adj
