en,cn,ar,pos
* a.m.,下午*点,* صباحًا,prt
* airlines has a flight leaving at *.,*航空公司有一架班机，在*起飞。,,vp
"* and * , please.",请给我*和*。,من فضلك أعطني * و *.,vp
* day(s),*天,‏* أيام,prt
* dinar,第纳尔,دينار,prt
* dirham,迪拉姆,درهم,prt
* dollar(s),美元,دولار,prt
* hour(s),*个小时,‏* ساعات,prt
* is not working.,坏了,* لا يعمل,vp
* minute(s),*分钟,‏* دقائق,prt
* month(s),*个月,*  أشهر,prt
* p.m.,上午*点,* مساءً,prt
* people,*个人,* أشخاص,prt
* pound(s),磅,جنيه,prt
* week(s),*个星期,‏* أسبوع,prt
* year(s),*年,‏* سنوات,prt
* yuan,*元,* يوان,prt
a bottle,一瓶,قارورة,np
A cleaning fee will be charged if you smoke in this room.,,,vp
A cocktail if possible.,如果可能的话来点鸡尾酒吧。,,sent
A cup of coffee for me.,我要一杯咖啡。,,sent
a glass of wine,一杯酒,كأس من النبيذ,np
a pint,一品脱,نصف لتر,np
A small cup of strong black coffee without milk or cream.,小杯浓的黑咖啡，不加牛奶和奶油。,,sent
"A table for *, please.",*位。,,vp
A waiter will come to take your order.,服务员会过来为您点餐。,,sent
abdomen,腹部,بطن,np
able,能干的,,np
Abu Dhabi,阿布扎比,أبو ظبي,np
Abuja,阿布贾,أبوجا,np
academic year,学年,,np
Accessible Guestroom.,残疾人客房。,,sent
accompanying number,偕行人数,,np
Accra,阿克拉,أكرا,np
achievements,业绩,,np
active,主动的,,np
adaptable,适应性强的,,np
adapted to,适应于,,np
address,地址,,np
address while in,前往国家的住址,,np
Adelaide,阿德莱德,أديليد,np
adopted daughter,养女,,np
adopted son,养子,,np
Advance Reservations. Can I help you?,这儿预订房间，需要效劳吗?,,sent
Afghanistan,阿富汗,أفغانستان,np
after,之后,بعد,adv
"After landing on the airport, you can turn on you cell phone.",飞机降落在机场后，你就能打开手机了。,,sent
afternoon,下午,بعد الظهر,np
age,年龄,,np
aggressive,有进取心的,,np
Ahmedabad,艾哈迈达巴德,أحمد أباد,np
Air Conditioned.,空调开放。,,sent
air route,航线,,np
airbus,空中客车,,np
airconditioner,空调,مكيف هواء,np
airline coach service,航空公司汽车服务处,,np
airplane,飞机,طائرة,np
airport,机场,مطار,np
Airport Bus.,机场巴士。,,sent
