en,ar,pos
Show me., أرني.,sent
you (p), أنتم,np
yesterday, البارحة,np
today, اليوم,np
After *., بعد *.,vp
waist, خصر,np
salad, سلطة,np
telephone, هاتف,np
* month(s),*  أشهر,prt
* week(s),‏* أسبوع,prt
* day(s),‏* أيام,prt
* minute(s),‏* دقائق,prt
* hour(s),‏* ساعات,prt
* year(s),‏* سنوات,prt
* is not working.,* لا يعمل,vp
August,آب‎\ أغسطس,np
March,آذار‎ / مارس,np
ears,آذان,np
I need to see your passport.,أ حتاج أن أرى جواز سفرك,sent
I'm looking for *.,أبحث عن *.,vp
white,أبيض,adj
I need a doctor.,أحتاج طبيب.,sent
I need your help.,أحتاج مساعدة لو سمحت.,sent
red,أحمر,adj
green,أخضر,adj
See you later.,أراك لاحقاً.,sent
4,أربعة,num
14,أربعة عشر,num
40,أربعون,num
legs,أرجل,np
Please come with me.,أرجوك، تعال/تعالي معي.,sent
cheaper,أرخص,adj
rice,أرز,np
fried rice,أرز مقلي,np
I want *.,أريد *.,vp
I want a dish with *.,أريد أن آكل طبق مع *.,vp
I want to check out.,أريد أن أدفع لاغادر.,sent
I need to talk to a lawyer.,أريد التحدث مع محامي,sent
I want to rent a car.,أريد ايجار سيارة.,sent
I'd like to rent a car.,أريد ايجار سيارة.,sent
blue,أزرق,adj
black,أسود,adj
It hurts here.,أشعر بالألم هنا.,sent
fingers,أصابع,np
toes,أصابع القدم,np
yellow,أصفر,adj
nails,"أظافر (fingernails), مسامير (hammering nails) ",np
Excuse me. (begging pardon),أعذرني,sent
I work at the *.,أعمل في *.,vp
feet,أقدام,np
less than,أقل من,adj
bigger,أكبر,adj
more than,أكثر من,adj
1000,ألف,num
2000,ألفين,num
Where is the train to *?,أن القطار المتجه إلى *؟,vp
I'm sorry.,أنا آسف.,sent
I only eat Halal food.,أنا آكل الطعام الحلال فقط.,sent
Me too.,أنا أيضاً,sent
My name is * .,أنا اسمي *.,vp
I'm lost.,أنا تائه.,sent
I've lost *.,أنا فقدت *.,vp
I don't want it.,أنا لا أريده,sent
I don't understand (something heard).,أنا لا أفهم,sent
I'm not feeling well.,أنا لست على ما يرام.,sent
I'm not interested.,أنا لست مهتم.,sent
I'm with *.,أنا مع *.,vp
I am from *.,أنا من *.,vp
I'm a vegetarian.,أنا نباتي.,sent
you,أنت,np
You're cheating me.,"أنت تغشني (s), أنتما تغشانني (two), أنتم تغشونني (more than two)",sent
cleaner,أنظف,np
nose,أنف,np
I want to talk to the * embassy.,أود بالتحدث مع سّفارة *.,vp
cash,أوراق مالية,np
hands,أيادي,np
May,أيار‎/ مايو,np
September,أيلول‎/ سبتمبر,np
Can I use your cell phone?,أيمكنني إستخدام هاتفك؟,sent
Can I use your phone?,أيمكنني استخدام هاتفك النقال؟,sent
Where is the *?,أين ال*؟,vp
Where is the bus to *?,أين الحافلة المتجهة إلى *؟,vp
Where is the bathroom?,أين الحمام؟,sent
Where is the toilet?,أين الحمام؟,sent
Where does this bus go?,أين تذهب هذه الحافلة؟,sent
Where is it on the map?,أين تقع على الخريطة؟,sent
Where is an ATM?,أين توجد آلة الصرف الآلي؟,sent
Where does it hurt?,أين يؤلمك؟,sent
Where does this train go?,أين يذهب هذا القطار؟,sent
Where do we get tickets?,أين يمكننا أن نحصل على تذاكر؟,sent
Where can I find *?,أين يمكنني أن أجد؟,vp
Where can I get money changed?,أين يمكنني أن أصرّف بعض المال؟,sent
Where can I get a traveler's check changed?,أين يمكنني أن أصرّف شيك سياحي؟,sent
12,إثنا عشر,num
2,إثنان,num
22,إثنان وعشرون,num
11,إحدى عشر,num
diarrhoea,إسهال,np
To *.,إلى *,vp
Where are you taking me?,إلى أين أنت آخذني؟,sent
straight ahead,إلى الأمام,sent
