	en	cn	ar	pos
856	(Hair) Dryer	头发吹风机		sent
222	* Airlines flight * * to * is now boarding.	飞往曼谷的泰航TG*班，已经开始登机。		vp
18	* airlines has a flight leaving at * a. m.	美国航空公司有一架班机，在早上*点*分起飞。		vp
25	* and * , please.	请给我*和*。	من فضلك أعطني * و *.	vp
26	* day(s)	*天	‏* أيام	prt
507	* dinar	第纳尔	دينار	prt
506	* dirham	迪拉姆	درهم	prt
504	* dollar(s)	美元	دولار	prt
27	* hour(s)	*个小时	‏* ساعات	prt
28	* is not working.	坏了	* لا يعمل	vp
29	* minute(s)	*分钟	‏* دقائق	prt
30	* month(s)	*个月	*  أشهر	prt
520	* people	*个人	* أشخاص	prt
898	* people.	四口人。		sent
505	* pound(s)	磅	جنيه	prt
31	* week(s)	*个星期	‏* أسبوع	prt
32	* year(s)	*年	‏* سنوات	prt
508	* yuan	*元	* يوان	prt
49	* yuan.	*元。		vp
789	*BREAK*.	杰克布鲁德尔。		sent
844	A Cleaning Fee of * Will Be Charged To Your Room Account If You Smoke In This Room.	违者将被从账户中扣除$*罚金作为清洁费用。		vp
338	A cocktail if possible.	如果可能的话来点鸡尾酒吧。		sent
680	A cup of coffee for me, and a glass of apple juice for her.	我要一杯咖啡，她要一杯苹果汁。		sent
907	A little.	只会一点。		sent
684	A small cup of strong black coffee without milk or cream.	小杯浓的黑咖啡，不加牛奶和奶油。		sent
483	A table for *, please.	三位。		sent
544	A waiter will come to take your order.	服务员会过来为您点餐。		sent
829	Abu Dhabi	阿布扎比	أبو ظبي	np
789	Abuja	阿布贾	أبوجا	np
817	Accessible Guestroom.	残疾人客房。		sent
795	Accra	阿克拉	أكرا	np
827	Adelaide	阿德莱德	أديليد	np
714	Advance Reservations. Can I help you?	这儿预订房间，需要效劳吗?		sent
521	Afghanistan	阿富汗	أفغانستان	np
363	After landing on the airport, you can turn on you cell phone.	飞机降落在机场后，你就能打开手机了。		sent
754	Ahmedabad	艾哈迈达巴德	أحمد أباد	np
845	Air Conditioned.	空调开放。		sent
270	Airport Bus.	机场巴士。		sent
272	Airport Limousine.	机场班车。		sent
273	Airport Shuttle.	机场班车。		sent
139	Airport security.	机场安检。		sent
63	Aisle, please.	靠过道的。		sent
522	Albania	阿尔巴尼亚	ألبانيا	np
775	Aleppo	阿勒颇	حلب	np
767	Alexandria	亚历山大	الإسكندرية	np
523	Algeria	阿尔及利亚	الجزائر	np
142	All bags-packages and persons are subject to search.	所有行李包裹以及个人一律接受安检。		sent
766	All our rooms are full occupied.	我们所有的房间都满了。		sent
155	All portable electronic devices, keys, coins and other metal objects should be placed on X-ray belt in separate container.	便携电器、钥匙、硬币、和其他金属物品置放单独盒内后，放X光安检传送带上。		sent
93	All right.	好的。		sent
358	All right.	好的。		sent
348	All right. Will there be anything else?	好的，还需要别的吗?		sent
410	All the connecting passengers are requested to proceed to Gate *	所有转机旅客请到*号登机门。		vp
160	All the leaving passengers must go through this gate.	所有旅客都必须从这个检查口通过。		sent
828	Always Use Deadbolt.	始终使用死栓。		sent
43	Am I under arrest?	我被捕了吗？	هل أنا معتقل؟	sent
837	Amsterdam	阿姆斯特丹	أمستردام	np
62	An aisle seat, please.	请给我一个靠走道的座位。		sent
770	And now you want to change the booking, do you?	你想变更一下入住时间吗?		sent
332	And the Western food?	西餐呢?		sent
168	And would you mind opening your lap-top?	您介意打开您的手提电脑吗?		sent
749	And your telephone number, please?	请问你的电话号码是多少?		sent
524	Andorra	安道尔	أندورا	np
525	Angola	安哥拉	أنغولا	np
766	Ankara	安卡拉	أنقرة	np
526	Antigua	安提瓜	أنتيغوا	np
900	Any brothers or sisters?	有兄弟姐妹吗?		sent
158	Anything else in your pocket?	口袋里还有其它物品吗？		sent
44	April	四月	أبريل	np
50	Are there any discount tickets for me?	我买票有折扣吗?		sent
439	Are there any restaurants still open near here?	这附近还有在营业的饭店吗?		sent
23	Are they non-stop flights?	它们是直飞班机吗?		sent
501	Are you here by yourself?		هل أنت بمفردك؟	sent
964	Are you looking for something particular?	您在找什么呢?		sent
249	Area Of Customs Control.	海关监管区。		sent
527	Argentina	阿根廷	الأرجنتين	np
528	Armenia	亚美尼亚	أرمينيا	np
45	Around the corner.	转角	قريب من هنا	sent
135	At gate * go through the security check and turn left, take the moving staircase at the end of the hall, then you will find it.	*号登机口，在通过安检后左转，走到大厅的尽头乘电梯能到。		vp
972	At what aisle is the frozen food?	冷冻食品在哪条通道?		sent
786	Athens	雅典	أثينا	np
868	Attendant Call.	呼叫服务员		sent
194	Attention, please. Due to weather condition, all flights to * will be delayed.	各位旅客请注意，由于气候不佳，所有飞往台北的班机都将延后起飞。		sent
820	Auckland	奥克兰	أوكلاند	np
46	August	八月	أغسطس	np
529	Australia	澳大利亚	أستراليا	np
530	Austria	奥地利	النمسا	np
531	Azerbaijan	阿塞拜疆	أذربيجان	np
791	B-r-u-d-e-r. B-r-u-d-e-r。			sent
261	Baggage Claim (Area).	行李提取（区）。		sent
258	Baggage Rack.	行李架。		sent
532	Bahamas	巴哈马	الباهاما	np
533	Bahrain	巴林	البحرين	np
855	Bali	巴厘岛	بالي	np
738	Bangalore	班加罗尔	بنغالور	np
748	Bangkok	曼谷	بانكوك	np
534	Bangladesh	孟加拉国	بنغلاديش	np
535	Barbados	巴巴多斯	بربادوس	np
763	Barcelona	巴塞罗那	برشلونة	np
850	Be Careful When Using The Bath.	使用此浴室时小心。		sent
826	Be Careful.	小心(路滑)。		sent
533	Be seated, please.	请坐。		sent
720	Beijing	北京	بكين	np
797	Beirut	贝鲁特	بيروت	np
536	Belarus	白俄罗斯	روسيا البيضاء	np
864	Belfast	贝尔法斯特	بلفاست	np
537	Belgium	比利时	بلجيكا	np
834	Belgrade	贝尔格莱德	بلغراد	np
538	Belize	伯利兹	بليز	np
539	Benin	贝宁	بنين	np
781	Berlin	柏林	البرلينية	np
798	Bhopal	博帕尔	بوبال	np
540	Bhutan	不丹	بوتان	np
848	Birmingham	伯明翰	برمنغهام	np
694	Black coffee for me,just black.	黑咖啡，不加别的。		sent
693	Black coffee, please.	请来杯黑咖啡（清咖啡）。		sent
215	Boarding Gate.	登机口。		sent
225	Boarding passes and IDs, please!	请出示登记证和身份证!		sent
130	Boarding time is * a.m.	登机时间是上午*点*分。		vp
745	Bogota	波哥大	بوغوتا	np
541	Bolivia	玻利维亚	بوليفيا	np
843	Bordeaux	波尔多	بوردو	np
542	Bosnia Herzegovina	波黑	البوسنة الهرسك	np
20	Both flights have seats available.	两次航班都有座。		sent
543	Botswana	博茨瓦纳	بوتسوانا	np
546	Bottoms up!	干杯!		sent
771	Brasilia	巴西利亚	برازيليا	np
877	Bratislava	布拉迪斯拉发	براتيسلافا	np
544	Brazil	巴西	البرازيل	np
870	Brighton	布莱顿	برايتون	np
796	Brisbane	布里斯班	بريسبان	np
859	Bristol	布里斯托尔	بريستول	np
545	Brunei	文莱	بروناي	np
803	Brussels	布鲁塞尔	بروكسل	np
806	Bucharest	布加勒斯特	بوخارست	np
812	Budapest	布达佩斯	بودابست	np
728	Buenos Aires	布宜诺斯艾利斯	بوينس آيرس،	np
546	Bulgaria	保加利亚	بلغاريا	np
547	Burkina	布基纳法索	فاسو	np
548	Burundi	布隆迪	بوروندي	np
783	Busan	釜山	بوسان	np
33	Business class.	公务舱。		sent
751	By the way, how would you like to pay for it?	另外，您准备怎样付款呢?		sent
725	Cairo	开罗	القاهرة	np
819	Calgary	卡尔加里	كالجاري	np
790	Cali	卡利	كالي	np
549	Cambodia	柬埔寨	كمبوديا	np
550	Cameroon	喀麦隆	الكاميرون	np
786	Can I cancel my reservation?	我能取消我的预定吗?		sent
298	Can I change seats with you?	我可以跟你换位子吗?		sent
72	Can I get a bag?	我可以要一个袋子吗？	هل استطيع الحصول على حقيبة؟	sent
73	Can I get insurance?	我可以买保险吗？	هل أستطيع الحصول على تأمين؟	sent
404	Can I get on the earlier flight instead?	我可以换成早一点的航班吗?		sent
5	Can I have a second-class one-way ticket to *, please?	请给我一张去芝加哥的单程二等票好吗?		sent
356	Can I have another blank?	我能再要条毯子吗?		sent
74	Can I just pay a fine now?	我可以缴交罚款吗？	هل استطيع دفع غرامة أدفع غرامة الآن؟	sent
75	Can I look at the menu, please?	请给我看看菜单.	قائمة الطعام، من فضلك؟	sent
76	Can I make a telephone call?	我可以打个电话吗？	هل يمكنني الحصول على مكالمة هاتفية؟	sent
