,en,ar,pos,cn
0,0,صفر,num,零
1,1,واحد,num,一
2,2,إثنان,num,二
3,3,ثلاثة,num,三
4,4,أربعة,num,四
5,5,خمسة,num,五
6,6,ستة,num,六
7,7,سبعة,num,七
8,8,ثمانية,num,八
9,9,تسعة,num,九
10,10,عشرة,num,十
11,11,إحدى عشر,num,十一
12,12,إثنا عشر,num,十二
13,13,ثلاثة عشر,num,十三
14,14,أربعة عشر,num,十四
15,15,خمسة عشر,num,十五
16,16,ستة عشر,num,十六
17,17,سبعة عشر,num,十七
18,18,ثمانية عشر,num,十八
19,19,تسعة عشر,num,十九
20,20,عشرون,num,二十
21,21,واحد وعشرون,num,二十一
22,22,إثنان وعشرون,num,二十二
23,23,ثلاثة وعشرون,num,二十三
24,30,ثلاثون,num,三十
25,40,أربعون,num,四十
26,50,خمسون,num,五十
27,60,ستون,num,六十
28,70,سبعون,num,七十
29,80,ثمانون,num,八十
30,90,تسعون,num,九十
31,100,مائة,num,一百
32,101,مائة و واحد,num,一百零一
33,110,مائة وعشرة,num,一百一十
34,111,مائة و أحد عشر,num,一百一十一
35,200,مئتين,num,二百
36,300,ثلاث مائة,num,三百
37,500,خمس مائة,num,五百
38,1000,ألف,num,一千
39,2000,ألفين,num,二千
40,"10,000",عشرة آلاف,num,一万
41,"10,001",عشرة آلاف و واحد,num,一万零一
42,"10,002",عشرة آلاف وإثنان,num,一万零二
43,"20,000",عشرون الف,num,二万
44,"50,000",خمسون ألف,num,五万
45,"100,000",مائة ألف,num,十万
46,"200,000",مئتي ألف,num,二十万
47,"1,000,000",مليون,num,一百万
48,"10,000,000",عشرة ملايين,num,一千万
49,"100,000,000",مائة مليون,num,一亿
50,"1,000,000,000",مليار‎,num,十亿
51,"1,000,000,000,000",تريليون,num,一兆
52,"* and * , please.",من فضلك أعطني * و *.,vp,请给我*和*。
53,* day(s),‏* أيام,prt,*天
54,* hour(s),‏* ساعات,prt,*个小时
55,* is not working.,* لا يعمل,vp,坏了
56,* minute(s),‏* دقائق,prt,*分钟
57,* month(s),*  أشهر,prt,*个月
58,* week(s),‏* أسبوع,prt,*个星期
59,* year(s),‏* سنوات,prt,*年
60,a beer,البيرة,np,啤酒
61,a bottle,قارورة,np,一瓶
62,a glass of wine,كأس من النبيذ,np,一杯酒
63,a pint,نصف لتر,np,一品脱
64,a table for * people,طاولة ل * شخص,np,*人的座位
65,abdomen,بطن,np,腹部
66,after,بعد,adv,之后
67,afternoon,بعد الظهر,np,下午
68,airconditioner,مكيف هواء,np,空调
69,airplane,طائرة,np,飞机
70,airport,مطار,np,机场
71,Am I under arrest?,هل أنا معتقل؟,sent,我被捕了吗？
72,April,نيسان‎\ أبريل,np,四月
73,Around the corner.,قريب من هنا,sent,转角
74,August,آب‎\ أغسطس,np,八月
75,avenue,سبيل,np,大道
76,back,ظهر,np,背
77,bars,مشرب,np,酒吧
78,bathroom,‏حمام,np,卫生间
79,batteries,بطارية,np,电池
80,beans,فول,np,豆
81,bedsheet,ملاءة سرير,np,床单
82,bedsheets,ملاءات السرير,np,床单
83,beef,لحم بقري,np,牛肉
84,beer,بيرة,np,啤酒
85,before,قبل,adv,以前
86,bigger,أكبر,adj,更大
87,black,أسود,adj,黑色
88,black pepper,فلفل أسود,np,黑胡椒
89,black tea,شاي أسود,np,红茶
90,blue,أزرق,adj,蓝色
91,body,الجسم,np,身体
92,boiled water,ماء مغلي,np,开水
93,bottled water,مياه معبأة,np,矿泉水
94,bread,خبز,np,面包
95,breakfast,وجبة افطار,np,早饭
96,brown,بني,adj,褐色
97,bus station,محطة حافلات,np,公家车站
98,butter,زبدة,np,牛油
99,buttocks,مؤخرة,np,屁股
100,cafe,مقهى,np,咖啡室
101,Can I get a bag?,هل استطيع الحصول على حقيبة؟,sent,我可以要一个袋子吗？
102,Can I get insurance?,هل أستطيع الحصول على تأمين؟,sent,我可以买保险吗？
103,Can I just pay a fine now?,هل استطيع دفع غرامة أدفع غرامة الآن؟,sent,我可以缴交罚款吗？
104,"Can I look at the menu, please?",قائمة الطعام، من فضلك؟,sent,请给我看看菜单.
105,Can I make a telephone call?,هل يمكنني الحصول على مكالمة هاتفية؟,sent,我可以打个电话吗？
106,Can I make an appointment?,هل يمكنني حجز موعد؟,sent,我可以预约吗？
107,Can I make international calls here?,هل استطيع القيام بمكالمة دولية من هنا؟,sent,可以打国际电话吗?
108,Can I print here?,هل يمكنني الطبع من هنا؟,sent,我可以复印吗？
109,Can I use your cell phone?,أيمكنني إستخدام هاتفك؟,sent,我可以用您的手机吗？
110,Can I use your phone?,أيمكنني استخدام هاتفك النقال؟,sent,我可以用您的电话吗？
111,Can you change money for me?,هل يمكنك تحويل مال لي؟ ,sent,你可以帮我换钱吗？
112,Can you get a doctor?,هل يمكنك أن تحضر طبيب؟,sent,你可以帮我找一位医生吗？
113,Can you show me on the map?,هل يمكنك أن تريني أين هو على الخريطة؟,sent,你可以在地图上指给我看?
114,Can you speak *?,عل يمكنك تحدث ال*؟,vp,你可以说*吗？
115,Can you suggest another hotel?,هل يمكنك اقتراح فندق آخر؟,sent,你有其他推荐的酒店吗？
116,Can you tell me where * is?,اين *؟,vp,你可以告诉我*在那里吗？
117,Can you wake me at *?,هل تستطيع إيقاظي الساعة *؟,vp,请在明天早上*点钟叫醒我。
118,Can you write the name and address down?,هل يمكنك أن تكتب لي الإسم و العنوان؟,sent,你可以写下名字和地址吗？
119,car,سيارة,np,汽车
120,carbonated water,مياه غازية,np,碳酸水
121,cash,أوراق مالية,np,现金
122,cheap,رخيص,adj,便宜
123,cheaper,أرخص,adj,比较便宜
124,check,شيك,np,支票
125,cheese,جبنة,np,奶酪
126,chest,صدر,np,胸部
127,chicken,دجاج‎\ فراخ,np,鸡
128,cleaner,أنظف,np,清洁工
129,closed,مغلق,adj,关闭
130,club soda,صودا,np,苏打水
131,coffee,قهوة,np,咖啡
132,Coke,الكولا,np,可乐
133,cold medicine,دواء للزكام,np,感冒药
134,cough,سعال,np,咳嗽
135,Could you please *?,لو سمحتو هل يمكنك أن *؟,vp,可以请你*吗？
136,Could you repeat that?,هل يمكنك أن تكرر هذا؟,sent,你可以重复一遍吗？
137,credit card,بطاقة ائتمان,np,信用卡
138,December,كانون الأول‎/ ديسمبر,np,十二月
139,deposit,وديعة,np,押金
140,diarrhoea,إسهال,np,泻肚子/拉肚子
141,dictionary,قاموس,np,词典
142,diesel,ديزل‎ سولار‎ جاز,np,柴油
143,Do you accept * currency?,هل تقبل العملة *؟,vp,你接受*的货币吗？
144,Do you accept credit cards?,هل تقبل بطاقات الائتمان؟,sent,你接受信用卡吗？
145,Do you accept US dollars?,هل تقبل الدولار الأمريكي؟,sent,你接受美元吗？
146,Do you go to *?,هل تذهب إلى *؟,vp,去不去*?
147,Do you have a safe?,هل لديك خزنة؟,sent,你们有没有保险箱？
148,Do you have an English menu?,هل لديك قائمة بالإنجليزية؟,sent,你有没有英文菜单？
149,Do you have any rooms available?,هل لديك أي غرف متاحة؟,sent,你们还有房间吗？
150,Do you have any snacks?,هل لديك أي وجبات خفيفة؟,sent,有没有小吃？有没有点心？
151,Do you have insurance?,هل لديك تأمين؟,sent,你有保险吗？
152,Do you have it in another color?,هل لديك لون آخر؟,sent,你们有没有另外的颜色?
153,Do you have this in my size?,هل لديكم من هذه بمقاسي؟,sent,有没有我的尺寸？
154,Do you know *?,هل تعلم *؟,vp,你知道*吗？
155,Do you serve alcohol?,هل تقدمون أي خمور؟,sent,你们销售酒精类饮品吗？
156,Do you ship overseas?,هل هن,sent,可以邮寄到海外吗？
157,Do you speak English?,هل هناك شحن دولى؟,sent,你会说英语吗？
158,Do you take * currency?,هل تقبلون عملة *؟,vp,*元可以吗？
159,Do you understand?,مفهوم؟,sent,听得懂吗？
160,Does that include breakfast?,هل هذا يشمل وجبة الافطار؟,sent,早餐包含在内吗？
161,Does the room come with *?,هل تحتوي هذه الغرفة على *؟,vp,这个房间有没有*？
162,Does this bus stop in *?,هل تتوقف هذه الحافلة في *؟,vp,这辆巴士停在*吗？
163,Does this train stop in *?,هل يتوقف هذا القطار في *؟,vp,这列火车停在*吗？
164,Don't touch me!,لا تلمسني!,sent,不要碰我！
