en,cn,ar,pos
* and *,*和*,* و *,conj
Afghan,阿富汗,الأفغاني,adj
after all *,毕竟 *,بعد كل ذلك *,conj
although *,尽管*,برغم من *,conj
American,美国,أمريكي,adj
Amharic,阿姆哈拉语,الأمهرية,adj
Arab,阿拉伯人,عربي,adj
Arabic,阿拉伯,عربى,adj
Argentinian,阿根廷人,الأرجنتيني,adj
as if *,仿佛*,كما لو *,conj
as soon as *,尽快 *,في أقرب وقت *,conj
Australian,澳大利亚,الأسترالي,adj
because *,因为*,لان *,conj
Belgian,比利时人,بلجيكي,adj
Bolivian,玻利维亚,بوليفي,adj
Brazilian,巴西人,برازيلي,adj
British,英国的,بريطاني,adj
both,都,على حد سواء,conj
but *,但*,لكن *,conj
Cambodian,柬埔寨,كمبوديا,adj
Cameroonian,喀麦隆,الكاميروني,adj
Canadian,加拿大,الكندية,adj
Chilean,智利,شيلي,adj
Chinese,中国的,صينى,adj
Chinese language,中文,اللغة الصينية,adj
Colombian,哥伦比亚,كولومبي,adj
Costa Rican,哥斯达黎加,كوستاريكا,adj
Cuban,古巴,الكوبية,adj
Danish,丹麦,دانماركي,adj
Dominican,多明尼加,الدومينيكان,adj
Dutch,荷兰人,هولندي,adj
Ecuadorian,厄瓜多尔,الاكوادوري,adj
Egyptian,埃及人,مصري,adj
either * or *,两者任一 *,إما * او *,conj
English,英语,الإنجليزية,adj
Estonian,爱沙尼亚语,الإستونية,adj
Ethiopian,埃塞俄比亚,حبشي,adj
even if *,即使 *,حتى لو *,conj
Filipino,菲律宾,الفلبينية,adj
finally *,最后*,أخيرا *,conj
Finnish,芬兰,اللغة الفنلندية,adj
for *,为*,إلى عن على *,conj
for example *,例如 *,فمثلا *,conj
French,法国,الفرنسية,adj
furthermore *,此外*,علاوة على ذلك *,conj
German,德语,ألمانية,adj
Ghanaian,加纳的,الغاني,adj
Greek,希腊语,الإغريقي,adj
Guatemalan,危地马拉,غواتيمالا,adj
Haitian,海地,هايتي,adj
Hebrew,希伯来语,اللغة العبرية,adj
Honduran,洪都拉斯,هندوراس,adj
if *,如果*,إذا *,conj
in addition,此外,بالإضافة الى,conj
Indonesian,印度尼西亚,الأندونيسية,adj
instead *,相反*,في حين أن *,conj
Iranian,伊朗的,إيراني,adj
Irish,爱尔兰的,الأيرلندية,adj
Israeli,以色列,إسرائيلي,adj
Italian,意大利的,الإيطالي,adj
Japanese,日本的,اليابانية,adj
Jordanian,约旦人,أردني,adj
Kenyan,肯尼亚,الكيني,adj
Korean,韩国的,الكورية,adj
Laotian,老挝的,اللاوسي,adj
Latvian,拉脱维亚,اللاتفية,adj
Lebanese,黎巴嫩,لبناني,adj
likewise,同样,بطريقة مماثلة,conj
Lithuanian,立陶宛,اللتوانية,adj
Malay,马来语,لغة الملايو,adj
Malaysian,马来西亚,الماليزية,adj
meanwhile *,同时*,وفى الوقت نفسه *,conj
Mexican,墨西哥人,المكسيكي,adj
Moroccan,摩洛哥,مغربي,adj
neither nor,既不也不,لا هذا ولا ذاك,conj
New Zealander,新西兰人,نيوزيلندي,adj
Nicaraguan,尼加拉瓜,نيكاراغوا,adj
Norwegian,挪威,النرويجية,adj
not only * but also *,不仅*而且*,ليس فقط * ولكن أيضا *,conj
now that *,现在 *,الآن هذا *,conj
on the other hand *,另一方面 *,من ناحية أخرى *,conj
once *,一次*,ذات مرة *,conj
or *,要么 *,أو *,conj
otherwise *,除此以外 *,غير ذلك *,conj
Panamanian,巴拿马人,بنمي,adj
Paraguayan,巴拉圭,باراغواي,adj
Persian,波斯语,اللغة الفارسية,adj
Peruvian,秘鲁,بيرو,adj
Polish,抛光,البولندي,adj
Portuguese,葡萄牙语,البرتغالية,adj
Puerto Rican,波多黎各人,بورتوريكو,adj
Romanian,罗马尼亚,روماني,adj
Russian,俄国的,الروسية,adj
Salvadorian,萨尔瓦多,السلفادورية,adj
Saudi,沙特的,سعودي,adj
Scottish,苏格兰的,الاسكتلندي,adj
since *,自*,منذ *,conj
so *,所以*,وبالتالي *,conj
so that *,以便 *,لهذا السبب *,conj
Spanish language,西班牙语,اللغة الإسبانية,adj
Spanish,西班牙的,الإسبانية,adj
still *,仍然*,ما يزال *,conj
Swahili,斯瓦希里,السواحلية,adj
Swedish,瑞典的,السويدية,adj
Swiss,瑞士人,سويسري,adj
Tagalog,他加禄语,التغالوغ,adj
Taiwanese,台湾的,تايوانية,adj
Tajik,塔吉克,الطاجيكية,adj
Thai,泰国的,التايلاندية,adj
though *,尽管*,على أية حال *,conj
thus *,因此*,هكذا *,conj
Turkish,土耳其的,اللغة التركية,adj
UAE,阿联酋,الإمارات العربية المتحدة,adj
Ukrainian,乌克兰人,الأوكراني,adj
unless *,除非*,ما لم *,conj
until *,直到 *,حتى *,conj
Uruguayan,乌拉圭人,أوروجواي,adj
US,我们,لنا,adj
Venezuelan,委内瑞拉的,فنزويلا,adj
Vietnamese,越南的,الفيتنامية,adj
Welsh,威尔士语,تهرب من دفع الرهان,adj
wherever,哪里,أينما,conj
whether *,是否*,سواء *,conj
while *,而*,في حين *,conj
yet *,然而*,بعد *,conj
