,en,cn,ar_x,pos_x,ar_y,pos_y
358,coaste,杯垫,,np,,np
467,desscrt plate,甜品碟,,np,,
591,elder brothe,哥哥,,np,,
644,fare class,座舱等级,,np,,np
717,ft,英尺,,np,,np
748,Go straight following the sign ang you will see the gate.,跟着指示走，你将看到登机口。,,sent,,
762,government-supportedstudent,公费生,,np,,
980,I think * is better.,我想*比较好。,,sent,,
1098,ID card,身份证,,np,,
1164,It seems that this food has gone bad.,这道菜好像坏了。,,sent,,
1205,Just Let Our Manager On Duty Or Front Desk Staff Know If Any Part Of Your Stay Isn't Satisfactory.,如果某处不尽人意请告诉我们的值班经理或前台服务人员。,,sent,,sent
1268,Let's get a * first.,我们先去找个*。,,sent,,
1406,msg,味精,,np,,np
1473,Just show your ticket to the boarding officer as you get on the plane.,您登机时只要向工作人员出示机票就可以了。,,sent,,
1936,taxipick-up point,出租车乘车点,,np,,
2038,This knife is not sparp.,这把刀不锋利了。,,sent,,sent
2043,This is not fresh.,这个不新鲜了。,,sent,,
2044,This meat is burnt.,这份烤肉烧焦了。,,sent,,
2046,This meat is bloody.,肉带血过多。,,sent,,
2047,This meat is dry.,肉太硬/干了。,,sent,,
2048,This meat is underdone.,肉没熟。,,sent,,
2050,This * is filthy.,这个*好脏。,,sent,,
2085,toothpick tuble,牙签筒,,np,,np
2121,u turn ok,可以U形转弯,,np,,np
2213,welcome aboard.,欢迎登机,,np,,
2233,What do you have to drink?,你们这里有什么喝的?,,sent,,sent
2234,What do you want exactly?,你到底想买些什么?,,sent,,sent
2235,What does it look like?,它是什么样子的?,,sent,,sent
2236,What flavor do you like?,你喜欢什么口味?,,sent,,sent
2238,What is the boarding time?,什么时候登机呢?,,sent,,sent
2240,"What is the fare, please?",请问票价是多少?,,sent,,sent
2244,What is your nationality?,你的国籍是哪儿?,,sent,,sent
2245,What kind of coffee do you have?,你们这儿有什么咖啡?,,sent,,sent
2246,What kind of drinks you got?,你们有什么饮料?,,sent,,sent
2247,What kind of room would you like?,你喜欢订哪类房间?,,sent,,sent
2248,What kind of seats do you want?,你需要什么样的座位?,,sent,,sent
2249,"What kind of tickets do you want, first class or economy?",你要什么类型的票，头等舱还是经济舱?,,sent,,sent
2250,What kind of work do you do?,你从事哪类工作?,,sent,,sent
2251,What kinds do you have?,你们都有什么果汁?,,sent,,sent
2252,What should I do about it?,我该怎么做呢?,,sent,,sent
2253,What sort of job do you do at *?,你在*担任什么职务?,,vp,,sent
2254,What time do I have to be at the airport?,我什么时候到机场?,,sent,,sent
2255,What time do you close?,你们几点开始关门?,,sent,,sent
2256,What time do you open?,你们几点开始营业?,,sent,,sent
2257,What time do you start check-in?,你们何时开始办理登机手续？,,sent,,sent
2258,What time does the inflight movie start?,机上电影什么时候开始播放?,,sent,,sent
2259,What time does the plane take off?,飞机何时起飞呢?,,sent,,sent
2262,What time should I check in?,我应该什么时间办理登机手续呢?,,sent,,sent
2265,What was the date of the reservation?,保留的日期是什么呢?,,sent,,sent
