,en,cn,pos
0,Morning. May I help you?,早上好，请问有什么可以帮你的吗?,sent
1,I would like to make flight reservations.,我想预订机票。,sent
2,I want to book one ticket for the next flight to London.,我想预订一张飞往伦敦的下一班机票。,sent
3,Would you please make my reservation to Chicago for tomorrow?,请帮我预订明天去芝加哥的机票好吗?,sent
4,Give me a one-way ticket to L.A.,给我一张单程到洛杉矶的票。,sent
5,"Can I have a second-class one-way ticket to Chicago, please?",请给我一张去芝加哥的单程二等票好吗?,sent
6,When are you leaving?,您何时出发?,sent
7,"What date, please?",请问订哪一天?,sent
8,I'd like to get three seats on a flight to Paris on May *,我想订*张*月*日到巴黎的机票。,vp
9,Do you have any tickets available for that date?,你们有那天的票吗?,sent
10,I'd like to take the first available flight.,我想乘第一班飞机。,sent
11,What time does the plane take off?,飞机何时起飞呢?,sent
12,Let me check the availability.,让我看看还有票吗。,sent
13,"Hold on a second please, Let me see...",请稍等，让我看一下...,sent
14,Just a minute and I'll see if there are any flights.,请等一下，让我看看是否有航班。,sent
15,Just a second and I will check the schedule.,稍等一会儿，我查一下时间表。,sent
16,"Just a monent,please. Let me check for you.",请稍等，我来为您查一下。,sent
17,"Yes, there is.",有的。,sent
18,American Airlines has a flight leaving at * a. m.,美国航空公司有一架班机，在早上*点*分起飞。,vp
19,We have two flights at * p.m. and * p.m.,我们有两次航班，下午*和*的。,vp
20,Both flights have seats available.,两次航班都有座。,sent
21,There are enough seats.,还有很多座位。,sent
22,Is it a direct flight?,是直飞航班吗?,sent
23,Are they non-stop flights?,它们是直飞班机吗?,sent
24,Yes. Direct to Paris.,是的，这是直飞巴黎的飞机。,sent
25,We have a nonstop flight leaving at half past ten.,*点半我们有一个直达航班。,vp
26,There are no direct flights.,没有直达的航班。,sent
27,That is not a direct flight.,那不是直飞的航班。,sent
28,You need to transfer at Tokyo.,你需要在东京转机。,sent
29,"Which would you prefer, first class or economy?",你喜欢哪种，头等舱还是经济舱?,sent
30,"What kind of tickets do you want, first class or economy?",你要什么类型的票，头等舱还是经济舱?,sent
31,Do you want to fly first or economy class?,您要头等舱还是经济舱?,sent
32,What class?,要什么舱位?,sent
33,Business class.,公务舱。,sent
34,"Economy, please.",请买经济舱。,sent
35,I'll need an economy ticket with an open return.,我要经济舱，回程时间不定的来回票。,sent
36,"Only first class tickets available, sir.",现在只有头等舱了，先生。,sent
37,What's the fare for an economy class ticket?,经济舱的票价是多少?,sent
38,What's the fare to New York for the economy class?,去纽约的经济舱机票多少钱?,sent
39,How much is the fare?,票价多少钱?,sent
40,How much is the ticket?,这票多少钱?,sent
