en,cn,pos
I would like this.,我想要这个,sent
0,零,num
1,一,num
2,二,num
3,三,num
4,四,num
5,五,num
6,六,num
7,七,num
8,八,num
9,九,num
10,十,num
11,十一,num
12,十二,num
13,十三,num
14,十四,num
15,十五,num
16,十六,num
17,十七,num
18,十八,num
19,十九,num
20,二十,num
21,二十一,num
22,二十二,num
23,二十三,num
30,三十,num
40,四十,num
50,五十,num
60,六十,num
70,七十,num
80,八十,num
90,九十,num
100,一百,num
101,一百零一,num
110,一百一十,num
111,一百一十一,num
200,二百,num
300,三百,num
500,五百,num
1000,一千,num
2000,二千,num
"10,000",一万,num
"10,001",一万零一,num
"10,002",一万零二,num
"20,000",二万,num
"50,000",五万,num
"100,000",十万,num
"200,000",二十万,num
"1,000,000",一百万,num
"10,000,000",一千万,num
"100,000,000",一亿,num
"1,000,000,000",十亿,num
"1,000,000,000,000",一兆,num
"* and * , please.",请给我*和*。,vp
* day(s),*天,prt
* hour(s),*个小时,prt
* is not working.,坏了,vp
* minute(s),*分钟,prt
* month(s),*个月,prt
* week(s),*个星期,prt
* year(s),*年,prt
a beer,啤酒,np
a bottle,一瓶,np
a glass of wine,一杯酒,np
a pint,一品脱,np
a table for * people,*人的座位,np
abdomen,腹部,np
after,之后,adv
After *.,*之后,adv
afternoon,下午,np
airconditioner,空调,np
airplane,飞机,np
airport,机场,np
Am I under arrest?,我被捕了吗？,sent
April,四月,np
Around the corner.,转角,sent
August,八月,np
avenue,大道,np
back,背,np
bars,酒吧,np
bathroom,卫生间,np
batteries,电池,np
beans,豆,np
bedsheet,床单,np
bedsheets,床单,np
beef,牛肉,np
beer,啤酒,np
before,以前,adv
Before *.,*以前,adv
bigger,更大,adj
black,黑色,adj
black pepper,黑胡椒,np
black tea,红茶,np
blue,蓝色,adj
body,身体,np
boiled water,开水,np
bottled water,矿泉水,np
bread,面包,np
breakfast,早饭,np
brown,褐色,adj
bus station,公家车站,np
butter,牛油,np
buttocks,屁股,np
cafe,咖啡室,np
Can I get a bag?,我可以要一个袋子吗？,sent
Can I get insurance?,我可以买保险吗？,sent
Can I just pay a fine now?,我可以缴交罚款吗？,sent
"Can I look at the menu, please?",请给我看看菜单.,sent
Can I make a telephone call?,我可以打个电话吗？,sent
Can I make an appointment?,我可以预约吗？,sent
Can I make international calls here?,可以打国际电话吗?,sent
Can I print here?,我可以复印吗？,sent
Can I use your cell phone?,我可以用您的手机吗？,sent
Can I use your phone?,我可以用您的电话吗？,sent
Can you change a traveler's check for me?,你可以帮我兑换我的旅行支票吗？,sent
Can you change money for me?,你可以帮我换钱吗？,sent
Can you get a doctor?,你可以帮我找一位医生吗？,sent
Can you show me on the map?,你可以在地图上指给我看?,sent
Can you speak *?,你可以说*吗？,vp
Can you suggest another hotel?,你有其他推荐的酒店吗？,sent
Can you tell me where * is?,你可以告诉我*在那里吗？,vp
Can you wake me at *?,请在明天早上*点钟叫醒我。,vp
Can you write the name and address down?,你可以写下名字和地址吗？,sent
car,汽车,np
carbonated water,碳酸水,np
cash,现金,np
cheap,便宜,adj
cheaper,比较便宜,adj
check,支票,np
cheese,奶酪,np
chest,胸部,np
chicken,鸡,np
cleaner,清洁工,np
closed,关闭,adj
club soda,苏打水,np
coffee,咖啡,np
Coke,可乐,np
cold medicine,感冒药,np
cough,咳嗽,np
Could you please *?,可以请你*吗？,vp
Could you repeat that?,你可以重复一遍吗？,sent
credit card,信用卡,np
December,十二月,np
deposit,押金,np
diarrhoea,泻肚子/拉肚子,np
dictionary,词典,np
diesel,柴油,np
Do you accept * currency?,你接受*的货币吗？,vp
Do you accept credit cards?,你接受信用卡吗？,sent
Do you accept US dollars?,你接受美元吗？,sent
Do you go to *?,去不去*?,vp
Do you have a safe?,你们有没有保险箱？,sent
Do you have an English menu?,你有没有英文菜单？,sent
Do you have any rooms available?,你们还有房间吗？,sent
Do you have any snacks?,有没有小吃？有没有点心？,sent
Do you have insurance?,你有保险吗？,sent
Do you have it in another color?,你们有没有另外的颜色?,sent
Do you have this in my size?,有没有我的尺寸？,sent
Do you know *?,你知道*吗？,vp
Do you serve alcohol?,你们销售酒精类饮品吗？,sent
Do you ship overseas?,可以邮寄到海外吗？,sent
Do you speak English?,你会说英语吗？,sent
Do you take * currency?,*元可以吗？,vp
Do you understand?,听得懂吗？,sent
Does that include breakfast?,早餐包含在内吗？,sent
Does the room come with *?,这个房间有没有*？,vp
Does this bus stop in *?,这辆巴士停在*吗？,vp
Does this train stop in *?,这列火车停在*吗？,vp
Don't touch me!,不要碰我！,sent
downtown,市中心,np
driver's license,驾驶证件,np
dumpling,饺子,np
ears,耳朵,np
east,东,adj
eggs,鸡蛋,np
English books,英文书,np
English magazines,英文杂志,np
English newspaper,英文报纸,np
entrance,入口,np
evening,晚上,np
Excellent!,太棒了！,sent
Excuse me. (begging pardon),打扰一下。,sent
Excuse me. (coming through),对不起。,sent
Excuse me. (getting attention),请问。,sent
exit,出口,np
expensive,贵,adj
eyes,眼睛,sent
face,脸,np
February,二月,np
feet,脚,np
fever,发烧,np
"Fine, thank you.","很好, 谢谢。",sent
fingers,手指,np
first class cabin,头等舱,np
fish,鱼,np
fixed-price meal,定价套餐,np
forbidden,被禁止,adj
Friday,星期五,np
fried rice,炒饭,np
from,从,prt
fruits,水果,np
gas station,加油站,np
glasses,眼镜,np
go,去,vp
Go straight.,直走,sent
gold,金色,adj
Good evening.,晚上好。,sent
Good morning.,早安。,sent
Good night.,晚安。,sent
Goodbye,再见。,sent
Goodbye (informal),拜拜。,sent
green,绿色,adj
green tea,绿茶,np
grey,灰色,adj
hair,头发,np
half,半,adj
ham,火腿,np
hands,手,np
he,他,np
head,头,np
heater,暖气,np
Hello.,你好。,sent
Help!,救命！,sent
here,这里,adv
Here by yourself?,你自己一个人吗？,sent
hotel,酒店／旅馆,np
How are you?,你好吗？,sent
How do I get to * ?,怎么去*?,vp
How much does it cost to get to *?,去*要多少钱？,vp
How much is a room for one person per night?,单人房一晚多少钱？,sent
How much is a room for two people per night?,双人房一晚多少钱？,sent
How much is a ticket to *?,去*的票多少钱？,vp
How much is it per hour?,一小时是多少钱？,sent
How much is it to call to *?,打给*是多少钱？,vp
How much is it to get in?,入场费多少钱？,sent
How much is this?,多少钱？,sent
How much?,多少？,sent
How was your meal?,这一顿饭怎么样？,sent
I,我,np
I am from *.,我从*来。,vp
I am sick.,我生病了。,sent
