,en,ar,cn
318,(bubbly) water,مياه غازية,
307,(fresh) fruit,),
306,(fresh) vegetables,),
527,"* (hard liquor) and * (mixer), please.",,请给我*和*。
478,* day(s),,* 天
477,* hour(s),,* 小时
476,* minute(s),,* 分钟
480,* month(s),,* 月
479,* week(s),,* 星期
481,* year(s),,* 年
46,0,صفر,〇
47,1,واحد,一
83,"1,000,000",مليون,一百万
84,"1,000,000,000",مليار‎ بليون,
85,"1,000,000,000,000",تريليون,一兆
56,10,عشرة,十
460,"10,000",,一万
467,"10,000,000",,一千万
461,"10,001",,一万〇一
462,"10,002",,一万〇二
77,100,مئة,一百
465,"100,000",,十万
468,"100,000,000",,一亿
80,1000,الف,一千
456,101,,一百〇一
57,11,احد عشر,十一
457,110,,一百一十
458,111,,一百一十一
58,12,اثنا عشر,十二
59,13,ثلاثة عشر,十三
60,14,اربعة عشر,十四
61,15,خمسة عشر,十五
62,16,ستة عشر,十六
63,17,سبعة عشر,十七
64,18,ثمانية عشر,十八
65,19,تسعة عشر,十九
48,2,إثنان,二
66,20,عشرون,二十
463,"20,000",,二万
78,200,مئتين,二百
466,"200,000",,二十万
81,2000,الفين,二千
82,2000,الفين,or
67,21,واحد وعشرون,二十一
68,22,اثنان وعشرون,二十二
69,23,ثلاثة وعشرون,二十三
485,25th December,,十二月二十五号
49,3,ثلاثة,三
70,30,ثلاثون,三十
79,300,ثلاث مئة,三百
475,3:38 PM,,下午3点38分
50,4,اربعة,四
71,40,اربعون,四十
51,5,خمسة,五
72,50,خمسون,五十
464,"50,000",,五万
459,500,,五百
52,6,ستة,六
73,60,ستون,六十
484,6th January,,一月六号
53,7,سبعة,七
74,70,سبعون,七十
54,8,ثمانية,八
75,80,ثمانون,八十
55,9,تسعة,九
76,90,تسعون,九十
331,"A beer/two beers, please.",,请给我一杯/两杯啤酒。
334,"A bottle, please.",,请给我一瓶。
332,"A glass of red/white wine, please.",,请给我一杯红/白酒。
333,"A pint, please.",,请给我一品脱。
280,"A table for one person/two people, please.",,
452,Abdomen.,,肚子。
392,Am I under arrest?,هل أنا معتقل؟,我被捕了吗？
345,"Another round, please.",,请再来一轮。
190,April,نيسان‎ ابريل,四月
194,August,آب‎ أغسطس,八月
455,Back.,,背。
442,Body.,,身体。
454,Buttocks.,,屁股。
1,CLOSED,مغلق,
380,Can I get insurance?,هل أستطيع الحصول على تأمين؟,我可以买保险吗？
356,Can I have a bag?,,
396,Can I just pay a fine now?,أقدر أدفع غرامة الآن؟,我可以支付罚款吗？
281,"Can I look at the menu, please?",,请给我看看菜单.
282,Can I look in the kitchen?,,
421,Can I make a telephone call?,,我可以打个电话吗？
559,Can I make international calls here?,,可以打国际电话吗?
422,Can I use your cell phone?,,我可以用您的手机吗？
35,Can I use your phone?,,我可以用您的电话吗？
276,Can you change a traveler's check for me?,,
274,Can you change money for me?,,
289,"Can you make it ""lite"", please? (less oil/butter/lard)","""""",
229,Can you show me on the map?,,
264,Can you suggest another hotel?,,
509,Can you wake me at *?,,请明天早上*叫醒我。
451,Chest.,,胸。
554,Chinese-English dictionar,,汉英词典
342,Coke (soda),,可乐
429,Cough.,,咳嗽。
198,December,كانون الأول‎ ديسمبر,十二月
431,Diarrhoea.,,泻肚子/拉肚子
271,Do you accept American/Australian/Canadian dollars?,هل تقبل الدولار الأمريكي/الأسترالي/الكندية؟,
272,Do you accept British pounds?,هل تقبل الجنيه الاسترليني؟,
273,Do you accept credit cards?,هل تقبل الكريديت كارد؟,
490,Do you go to *?,,去不去*?
265,Do you have a safe?,,你们有没有保险箱？
