en,ar,cn,pos
Afghanistan,أفغانستان,阿富汗,np
Albania,ألبانيا,阿尔巴尼亚,np
Algeria,الجزائر,阿尔及利亚,np
Andorra,أندورا,安道尔,np
Angola,أنغولا,安哥拉,np
Antigua,أنتيغوا,安提瓜,np
Argentina,الأرجنتين,阿根廷,np
Armenia,أرمينيا,亚美尼亚,np
Australia,أستراليا,澳大利亚,np
Austria,النمسا,奥地利,np
Azerbaijan,أذربيجان,阿塞拜疆,np
Bahamas,الباهاما,巴哈马,np
Bahrain,البحرين,巴林,np
Bangladesh,بنغلاديش,孟加拉国,np
Barbados,بربادوس,巴巴多斯,np
Belarus,روسيا البيضاء,白俄罗斯,np
Belgium,بلجيكا,比利时,np
Belize,بليز,伯利兹,np
Benin,بنين,贝宁,np
Bhutan,بوتان,不丹,np
Bolivia,بوليفيا,玻利维亚,np
Bosnia Herzegovina,البوسنة الهرسك,波黑,np
Botswana,بوتسوانا,博茨瓦纳,np
Brazil,البرازيل,巴西,np
Brunei,بروناي,文莱,np
Bulgaria,بلغاريا,保加利亚,np
Burkina,فاسو,布基纳法索,np
Burundi,بوروندي,布隆迪,np
Cambodia,كمبوديا,柬埔寨,np
Cameroon,الكاميرون,喀麦隆,np
Canada,كندا,加拿大,np
Cape Verde,الرأس الأخضر,佛得角,np
Central African Rep,ممثل وسط افريقيا,中非共和国,np
Chad,تشاد,乍得,np
Chile,تشيلي,智利,np
China,الصين,中国,np
Colombia,كولومبيا,哥伦比亚,np
Comoros,جزر القمر,科摩罗,np
Congo,الكونغو,刚果,np
Democratic Republic of Congo,جمهورية الكونغو الديمقراطية,刚果民主共和国,np
Costa Rica,كوستا ريكا,哥斯达黎加,np
Croatia,كرواتيا,克罗地亚,np
Cuba,كوبا,古巴,np
Cyprus,قبرص,塞浦路斯,np
Czech Republic,جمهورية التشيك,捷克共和国,np
Denmark,الدنمارك,丹麦,np
Djibouti,جيبوتي,吉布提,np
Dominica,دومينيكا,多米尼加,np
Dominican Republic,جمهورية الدومنيكان,多明尼加共和国,np
East Timor,تيمور الشرقية,东帝汶,np
Ecuador,الإكوادور,厄瓜多尔,np
Egypt,مصر,埃及,np
El Salvador,السلفادور,萨尔瓦多,np
Equatorial Guinea,غينيا الإستوائية,赤道几内亚,np
Eritrea,إريتريا,厄立特里亚,np
Estonia,استونيا,爱沙尼亚,np
Ethiopia,أثيوبيا,埃塞俄比亚,np
Fiji,فيجي,斐,np
Finland,فنلندا,芬兰,np
France,فرنسا,法国,np
Gabon,الغابون,加蓬,np
Gambia,غامبيا,冈比亚,np
Georgia,جورجيا,格鲁吉亚,np
Germany,ألمانيا,德国,np
Ghana,غانا,加纳,np
Greece,اليونان,希腊,np
Grenada,غرينادا,格林纳达,np
Guatemala,غواتيمالا,危地马拉,np
Guinea,غينيا,几内亚,np
Guinea-Bissau,غينيا بيساو,几内亚比绍,np
Guyana,غيانا,圭亚那,np
Haiti,هايتي,海地,np
Honduras,هندوراس,洪都拉斯,np
Hungary,اليونان,匈牙利,np
Iceland,أيسلندا,冰岛,np
India,الهند,印度,np
Indonesia,أندونيسيا,印度尼西亚,np
Iran,إيران,伊朗,np
Iraq,العراق,伊拉克,np
Ireland,أيرلندا,爱尔兰,np
Israel,إسرائيل,以色列,np
Italy,إيطاليا,意大利,np
Ivory Coast,ساحل العاج,象牙海岸,np
Jamaica,جامايكا,牙买加,np
Japan,اليابان,日本,np
Jordan,الأردن,约旦,np
Kazakhstan,كازاخستان,哈萨克斯坦,np
Kenya,كينيا,肯尼亚,np
Kiribati,كيريباس,基里巴斯,np
North Korea,كوريا الشمالية,北朝鲜,np
South Korea,كوريا الجنوبية,韩国,np
Kosovo,كوسوفو,科索沃,np
Kuwait,الكويت,科威特,np
Kyrgyzstan,قرغيزستان,吉尔吉斯斯坦,np
Laos,لاوس,老挝,np
Latvia,لاتفيا,拉脱维亚,np
Lebanon,لبنان,黎巴嫩,np
Lesotho,ليسوتو,莱索托,np
Liberia,ليبيريا,利比里亚,np
Libya,ليبيا,利比亚,np
Liechtenstein,ليختنشتاين,列支敦士登,np
Lithuania,ليتوانيا,立陶宛,np
Luxembourg,لوكسمبورغ,卢森堡,np
Macedonia,مقدونيا,马其顿,np
Madagascar,مدغشقر,马达加斯加,np
Malawi,مالاوي,马拉维,np
Malaysia,ماليزيا,马来西亚,np
Maldives,جزر المالديف,马尔代夫,np
Mali,مالي,马里,np
Malta,مالطا,马耳他,np
Marshall Islands,جزر مارشال,马绍尔群岛,np
Mauritania,موريتانيا,毛里塔尼亚,np
Mauritius,موريشيوس,毛里求斯,np
Mexico,المكسيك,墨西哥,np
Micronesia,ميكرونيزيا,密克罗尼西亚,np
Moldova,مولدوفا,摩尔多瓦,np
Monaco,موناكو,摩纳哥,np
Mongolia,منغوليا,蒙古,np
Montenegro,الجبل الأسود,黑山,np
Morocco,المغرب,摩洛哥,np
Mozambique,موزمبيق,莫桑比克,np
Myanmar,ميانمار,缅甸,np
Namibia,ناميبيا,纳米比亚,np
Nauru,ناورو,瑙鲁,np
Nepal,نيبال,尼泊尔,np
Netherlands,هولندا,荷兰,np
New Zealand,نيوزيلاندا,新西兰,np
Nicaragua,نيكاراغوا,尼加拉瓜,np
Niger,النيجر,尼日尔,np
Nigeria,نيجيريا,尼日利亚,np
Norway,النرويج,挪威,np
Oman,سلطنة عمان,阿曼,np
Pakistan,باكستان,巴基斯坦,np
Palau,بالاو,帕劳,np
Panama,بناما,巴拿马,np
Papua New Guinea,بابوا غينيا الجديدة,巴布亚新几内亚,np
Paraguay,باراغواي,巴拉圭,np
Peru,بيرو,秘鲁,np
Philippines,الفلبين,菲律宾,np
Poland,بولندا,波兰,np
Portugal,البرتغال,葡萄牙,np
Qatar,دولة قطر,卡塔尔,np
Romania,رومانيا,罗马尼亚,np
Russian Federation,الاتحاد الروسي,俄罗斯联邦,np
Rwanda,رواندا,卢旺达,np
St Kitts & Nevis,سانت كيتس ونيفيس,圣基茨和尼维斯,np
St Lucia,شارع لوسيا,圣卢西亚,np
Saint Vincent & the Grenadines,سانت فنسنت وجزر غرينادين,圣文森特和格林纳丁斯,np
Samoa,ساموا,萨摩亚,np
San Marino,سان مارينو,圣马力诺,np
Sao Tome & Principe,ساو تومي وبرينسيبي,圣多美和普林西比,np
Saudi Arabia,المملكة العربية السعودية,沙特阿拉伯,np
Senegal,السنغال,塞内加尔,np
Serbia,صربيا,塞尔维亚,np
Seychelles,سيشيل,塞舌尔,np
Sierra Leone,سيرا ليون,塞拉利昂,np
Singapore,سنغافورة,新加坡,np
Slovakia,سلوفاكيا,斯洛伐克,np
Slovenia,سلوفينيا,斯洛文尼亚,np
Solomon Islands,جزر سليمان,所罗门群岛,np
Somalia,الصومال,索马里,np
South Africa,جنوب أفريقيا,南非,np
South Sudan,جنوب السودان,南苏丹,np
Spain,إسبانيا,西班牙,np
Sri Lanka,سيريلانكا,斯里兰卡,np
Sudan,سودان,苏丹,np
Suriname,سورينام,苏里南,np
Swaziland,سوازيلاند,斯威士兰,np
Sweden,السويد,瑞典,np
Switzerland,سويسرا,瑞士,np
Syria,سوريا,叙利亚,np
Taiwan,تايوان,台湾,np
Tajikistan,طاجيكستان,塔吉克斯坦,np
