,ar,cn,en,pos
0,,早上好，请问有什么可以帮你的吗?,Morning. May I help you?,sent
1,,我想预订机票。,I would like to make flight reservations.,sent
2,,我想预订一张飞往伦敦的下一班机票。,I want to book one ticket for the next flight to London.,sent
3,,请帮我预订明天去芝加哥的机票好吗?,Would you please make my reservation to Chicago for tomorrow?,sent
4,,给我一张单程到洛杉矶的票。,Give me a one-way ticket to L.A.,sent
5,,请给我一张去芝加哥的单程二等票好吗?,"Can I have a second-class one-way ticket to Chicago, please?",sent
6,,您何时出发?,When are you leaving?,sent
7,,请问订哪一天?,"What date, please?",sent
8,,我想订*张*月*日到巴黎的机票。,I'd like to get three seats on a flight to Paris on May *,vp
9,,你们有那天的票吗?,Do you have any tickets available for that date?,sent
10,,我想乘第一班飞机。,I'd like to take the first available flight.,sent
11,,飞机何时起飞呢?,What time does the plane take off?,sent
12,,让我看看还有票吗。,Let me check the availability.,sent
13,,请稍等，让我看一下...,"Hold on a second please, Let me see...",sent
14,,请等一下，让我看看是否有航班。,Just a minute and I'll see if there are any flights.,sent
15,,稍等一会儿，我查一下时间表。,Just a second and I will check the schedule.,sent
16,,请稍等，我来为您查一下。,"Just a monent,please. Let me check for you.",sent
17,,有的。,"Yes, there is.",sent
18,,美国航空公司有一架班机，在早上*点*分起飞。,American Airlines has a flight leaving at * a. m.,vp
19,,我们有两次航班，下午*和*的。,We have two flights at * p.m. and * p.m.,vp
20,,两次航班都有座。,Both flights have seats available.,sent
21,,还有很多座位。,There are enough seats.,sent
22,,是直飞航班吗?,Is it a direct flight?,sent
23,,它们是直飞班机吗?,Are they non-stop flights?,sent
24,,是的，这是直飞巴黎的飞机。,Yes. Direct to Paris.,sent
25,,*点半我们有一个直达航班。,We have a nonstop flight leaving at half past ten.,vp
26,,没有直达的航班。,There are no direct flights.,sent
27,,那不是直飞的航班。,That is not a direct flight.,sent
28,,你需要在东京转机。,You need to transfer at Tokyo.,sent
29,,你喜欢哪种，头等舱还是经济舱?,"Which would you prefer, first class or economy?",sent
30,,你要什么类型的票，头等舱还是经济舱?,"What kind of tickets do you want, first class or economy?",sent
31,,您要头等舱还是经济舱?,Do you want to fly first or economy class?,sent
32,,要什么舱位?,What class?,sent
33,,公务舱。,Business class.,sent
34,,请买经济舱。,"Economy, please.",sent
35,,我要经济舱，回程时间不定的来回票。,I'll need an economy ticket with an open return.,sent
36,,现在只有头等舱了，先生。,"Only first class tickets available, sir.",sent
37,,经济舱的票价是多少?,What's the fare for an economy class ticket?,sent
38,,去纽约的经济舱机票多少钱?,What's the fare to New York for the economy class?,sent
39,,票价多少钱?,How much is the fare?,sent
40,,这票多少钱?,How much is the ticket?,sent
41,,请问票价是多少?,"What is the fare, please?",sent
42,,您要单程票吗?,Will this be a one-way trip?,sent
43,,往返还是单程?,Round trip or one way?,sent
44,,往返票多少钱?,How much is the round trip?,sent
45,,回程时你们有直飞的班机吗?,Do you have any direct flights coming back?,sent
46,,单程。,One way.,sent
47,,我要往返票，*月*日飞回芝加哥。,Round trip back to Chicago on Janunary *rd.,vp
48,,从北京至上海的单程机票，头等舱是*元。,First class fare of a one-way ticket from Beijing to Shanghai is * yuan.,vp
49,,*元。,* yuan.,vp
50,,我买票有折扣吗?,Are there any discount tickets for me?,sent
51,,机票能给我折扣吗?,Will you give me some discount on tickets?,sent
52,,没有,No.,sent
53,,好的，就这班。,OK. I will take it.,sent
54,,我想就那个吧。,I guess that's OK.,sent
55,,你需要什么样的座位?,What kind of seats do you want?,sent
56,,你想要一个靠窗的位子，还是靠过道的?,Would you prefer a window seat or an aisle seat?,sent
57,,可以给我靠窗的座位吗?,Could you give me a window seat?,sent
58,,我想要一个靠窗的座位。,I'd like to have a seat by the window.,sent
59,,很抱谦，没有靠窗的座位了。,"I'm sorry, but there are no window seats available.",sent
60,,还有没有其他连在一起的座位?,Do you have any other seats open where we can sit together?,sent
61,,我想要一个走廊的座位。,I'd like an aisle seat.,sent
62,,请给我一个靠走道的座位。,"An aisle seat, please.",sent
63,,靠过道的。,"Aisle, please.",sent
64,,能告诉我你的名字、手机号和身份证号码吗?,"Would you please tell me your name, telephone and ID number?",sent
65,,当然，我叫刘霞，手机号是*，身份证号是*。,Sure! I'm Liuxia. My phone number is * and ID number is *,vp
66,,好的，我记下了。,"Well, I've got them.",sent
67,,现在您已完成订位。,Now you have been booked.,sent
68,,您的机票现在完全办妥了。,Your ticket is in order now.,sent
69,,您的航班号是BT*。,Your flight number is BT*,vp
70,,您的机位以确定，航班号为BT*，*起飞。,Your seat is confirmed on flight BT* leaving at *,vp
71,,我什么时候来取票?,When shall I come to pick up the ticket?,sent
72,,请于起飞前两天来付款取票。,"Come to pay the fare and fetch your ticket two days before departure, please.",sent
73,,我去什么地方拿机票?,Where do I pick up the ticket?,sent
74,,我什么时候到机场?,What time do I have to be at the airport?,sent
75,,我应该什么时候检票呢?,When am I supposed to check in?,sent
76,,我应该什么时间办理登机手续呢?,What time should I check in?,sent
77,,你要在飞机起飞前两个小时到达那里。,You have to be there two hours before departure time.,sent
78,,请于起飞前*小时到机场办理登机手续。,Please check in at the airport two hours before departure.,vp
79,,尽量*到那吧，机场人会很多的。,Try to be there by * and the airport will be crowed.,vp
80,,最晚请在*到那里。,Please be there fourteen o'clock at the latest.,vp
81,,最晚*到，因为机场提前半小时检票。,You'll have to get there by * at the latest. The check-in is half an hour earlier than departure.,vp
82,,你应该在飞机起飞之前半个小时到那。,You have to be there half an hour before departure time.,sent
83,,我需要更改航班日期。,I need to change my flight date.,sent
84,,我能更改一下订票的班机吗?,"Can you change the reservation, please?",sent
85,,当然可以。,Sure.,sent
86,,请问您的姓名?,May I have your name?,sent
87,,我想把*月*日预订的班机取消，改订*月*日的班机。,"I'd like to cancel my reservation for the flight on September * and book one on September * instead, please.",vp
88,,好，请稍等。对不起，*号的都卖完了。,"OK. wait a moment, please. Sorry, that's all sold out.",vp
89,,那*月*号的呢?,What about September *?,vp
90,,让我看看，*号就剩一张了，头等舱*元人民币。,"Let me see. OK, there is only one ticket left, first class and it is * yuan.",vp
91,,有比较便宜的机票吗?,Do you have any lower fare?,sent
92,,有，*号的，*元，可以吗?,"Yes, for September * * yuan, OK?",vp
93,,好的。,All right.,sent
94,,票价差额为*元，需要你自理。,"The balance of the fare is * yuan, you have to pay it by yourself.",vp
95,,请问中国国际航空公司办理登机手续的柜台在哪里?,Where is the check-in counter for China Airlines?,sent
96,,这里是去东京的MU*航班登机手续办理处吗?,May I check in here for flight MU * to Tokyo?,vp
97,,是在这儿检票吗?,Is this the right counter to check in at?,sent
98,,请到Ｒ区办理登机手续。,Please check-in at zone R.,sent
99,,请沿着标志引导到Ｒ区办理登机手续。,Please follow the signs for zone R to check in.,sent
100,,你可以在G和H区自助服务亭办理登机手续。,You may check in at the self-service kiosk area in zones G & H.,sent
101,,办理登机区。,Check in area.,sent
102,,办理登机区。,Check in zone.,sent
103,,办理飞往世界各地登机手续。,Check-in all destinations.,sent
104,,？你们何时开始办理登机手续？,What time do you start check-in,sent
105,,我什么时候开始办理登机手续?,When can I start to check in?,sent
106,,请将机票和护照准备好办理登机手续。,Have your ticket and passport ready for the check-in agent.,sent
107,,请排队办理前往欧洲各地的登机手续。,Please queue for flights to European destinations.,sent
108,,我要办理登记手续。,I'd like to check in.,sent
109,,可以帮我换登机牌吗?,Would you please help me to get my boarding pass?,sent
110,,可以看看你的护照吗?,"May I see your passport, please?",sent
111,,可以给我您的护照吗。,May I have your passport please?,sent
112,,？一个经济舱座位，对吗？,"One economy class seat, is that right",sent
113,,您有几件行李?,How many pieces of luggage do you have?,sent
114,,您有好多行李。,You have a lot of baggage.,sent
115,,你有什么行李要托运吗?,Do you have any bages to check?,sent
116,,您要托运几个包裹?,How many bags do you want to check in?,sent
117,,就这一个。,Just this one.,sent
118,,请把它放在这里。,Please put it here.,sent
119,,请把您的行李放在磅秤上。,Please put your baggage on the scale.,sent
120,,*公斤。,It's * kilos.,vp
121,,恐怕超重了。,I'm afraid it's overweight.,sent
122,,你的行李超重了。,Your baggage is overweight.,sent
123,,行李限重是多少?,What's the baggage allowance?,sent
124,,您可以把一些东西拿出来，或者付行李超重费。,You can either take out something or pay the excess baggage charge.,sent
125,,我付钱好了。,I would rather pay.,sent
126,,这是您的机票、登机牌和行李签。,"Here's your ticket, your boarding pass and the tag of your baggage.",sent
127,,这是您的机票，登机证，护照和行李提领证。,"Here's your ticket, boarding pass, passport and baggage claim tag.",sent
128,,这是您的登机牌。,Here is your boarding pass.,sent
129,,登机时间是*点。,The boarding time is *,vp
130,,登机时间是上午*点*分。,Boarding time is * a.m.,vp
131,,我在哪儿登机?,Where do I board the plane?,sent
132,,在几号门?,What's the gate number?,sent
133,,登机门是*号。,The gate number is *,vp
134,,请将在*号登机门登机。,You'll be boarding at Gate *,vp
135,,*号登机口，在通过安检后左转，走到大厅的尽头乘电梯能到。,"At gate * go through the security check and turn left, take the moving staircase at the end of the hall, then you will find it.",vp
136,,在起飞前还有其他手续要办吗?,Is there anything else to do before flight time?,sent
137,,没有，小姐。您登机时只要向工作人员出示机票就可以了。,"No, Miss. Just show your ticket to the boarding officer as you get on the plane.",sent
138,,余下的是我们的事，祝您旅途愉快。,The rest is our job. Have a good trip.,sent
139,,机场安检。,Airport security.,sent
140,,安检。,Security check (in).,sent
141,,安检。,Security Inspection.,sent
142,,所有行李包裹以及个人一律接受安检。,All bags-packages and persons are subject to search.,sent
143,,请自觉接受行包安检。,Please have your luggage checked.,sent
144,,安检要求。,Security screening requirements.,sent
145,,限带物品数量。,Quantity allowed to take.,sent
146,,限带液体物品的规定。,Regulations on restriction of liquids.,sent
147,,最高限重。,Maximum storage.,sent
148,,请这边走。,"Go this way, please.",sent
149,,在此排队。,Queue here.,sent
