,ar,cn,en,pos
0,صفر,零,zero,num
1,واحد,一,one,num
2,إثنان,二,two,num
3,ثلاثة,三,three,num
4,أربعة,四,four,num
5,خمسة,五,five,num
6,ستة,六,six,num
7,سبعة,七,seven,num
8,ثمانية,八,eight,num
9,تسعة,九,nine,num
10,عشرة,十,ten,num
11,مائة,一百,hundred,num
12,مئتين,二百,two hundred,num
13,خمس مائة,五百,five hundred,num
14,ألف,一千,thousand,num
15,ألفين,二千,two thousand,num
16,عشرة آلاف,一万,ten thousand,num
17,عشرون الف,二万,twenty thousand,num
18,خمسون ألف,五万,fifty thousand,num
19,مائة ألف,十万,hundred thousand,num
20,مليون,一百万,million,num
21,عشرة ملايين,一千万,ten million,num
22,مائة مليون,一亿,hundred million,num
23,مليار‎,十亿,billion,num
24,تريليون,一兆,trillion,num
25,من فضلك أعطني * و *.,请给我*和*。,"* and * , please.",vp
26,‏* أيام,*天,* day(s),prt
27,‏* ساعات,*个小时,* hour(s),prt
28,* لا يعمل,坏了,* is not working.,vp
29,‏* دقائق,*分钟,* minute(s),prt
30,*  أشهر,*个月,* month(s),prt
31,‏* أسبوع,*个星期,* week(s),prt
32,‏* سنوات,*年,* year(s),prt
33,قارورة,一瓶,a bottle,np
34,كأس من النبيذ,一杯酒,a glass of wine,np
35,نصف لتر,一品脱,a pint,np
36,طاولة ل * شخص,*人的座位,a table for * people,np
37,بطن,腹部,abdomen,np
38,بعد,之后,after,adv
39,بعد الظهر,下午,afternoon,np
40,مكيف هواء,空调,airconditioner,np
41,طائرة,飞机,airplane,np
42,مطار,机场,airport,np
43,هل أنا معتقل؟,我被捕了吗？,Am I under arrest?,sent
44,أبريل,四月,April,np
45,قريب من هنا,转角,Around the corner.,sent
46,أغسطس,八月,August,np
47,سبيل,大道,avenue,np
48,ظهر,背,back,np
49,مشرب,酒吧,bars,np
50,‏حمام,卫生间,bathroom,np
51,بطارية,电池,batteries,np
52,فول,豆,beans,np
53,ملاءات السرير,床单,bedsheets,np
54,لحم بقري,牛肉,beef,np
55,بيرة,啤酒,beer,np
56,قبل,以前,before,adv
57,أكبر,更大,bigger,adj
58,أسود,黑色,black,adj
59,فلفل أسود,黑胡椒,black pepper,np
60,شاي أسود,红茶,black tea,np
61,أزرق,蓝色,blue,adj
62,الجسم,身体,body,np
63,ماء مغلي,开水,boiled water,np
64,مياه معبأة,矿泉水,bottled water,np
65,خبز,面包,bread,np
66,وجبة افطار,早饭,breakfast,np
67,بني,褐色,brown,adj
68,محطة حافلات,公家车站,bus station,np
69,زبدة,牛油,butter,np
70,مؤخرة,屁股,buttocks,np
71,مقهى,咖啡室,cafe,np
72,هل استطيع الحصول على حقيبة؟,我可以要一个袋子吗？,Can I get a bag?,sent
73,هل أستطيع الحصول على تأمين؟,我可以买保险吗？,Can I get insurance?,sent
74,هل استطيع دفع غرامة أدفع غرامة الآن؟,我可以缴交罚款吗？,Can I just pay a fine now?,sent
75,قائمة الطعام، من فضلك؟,请给我看看菜单.,"Can I look at the menu, please?",sent
76,هل يمكنني الحصول على مكالمة هاتفية؟,我可以打个电话吗？,Can I make a telephone call?,sent
77,هل يمكنني حجز موعد؟,我可以预约吗？,Can I make an appointment?,sent
78,هل استطيع القيام بمكالمة دولية من هنا؟,可以打国际电话吗?,Can I make international calls here?,sent
79,هل يمكنني الطبع من هنا؟,我可以复印吗？,Can I print here?,sent
80,أيمكنني إستخدام هاتفك؟,我可以用您的手机吗？,Can I use your cell phone?,sent
81,أيمكنني استخدام هاتفك النقال؟,我可以用您的电话吗？,Can I use your phone?,sent
82,هل يمكنك تحويل مال لي؟ ,你可以帮我换钱吗？,Can you change money for me?,sent
83,هل يمكنك أن تحضر طبيب؟,你可以帮我找一位医生吗？,Can you get a doctor?,sent
84,هل يمكنك أن تريني أين هو على الخريطة؟,你可以在地图上指给我看?,Can you show me on the map?,sent
85,عل يمكنك تحدث ال*؟,你可以说*吗？,Can you speak *?,vp
86,هل يمكنك اقتراح فندق آخر؟,你有其他推荐的酒店吗？,Can you suggest another hotel?,sent
87,اين *؟,你可以告诉我*在那里吗？,Can you tell me where * is?,vp
88,هل تستطيع إيقاظي الساعة *؟,请在明天早上*点钟叫醒我。,Can you wake me at *?,vp
89,هل يمكنك أن تكتب لي الإسم و العنوان؟,你可以写下名字和地址吗？,Can you write the name and address down?,sent
90,سيارة,汽车,car,np
91,مياه غازية,碳酸水,carbonated water,np
92,أوراق مالية,现金,cash,np
93,رخيص,便宜,cheap,adj
94,أرخص,比较便宜,cheaper,adj
95,شيك,支票,check,np
96,جبنة,奶酪,cheese,np
97,صدر,胸部,chest,np
98,دجاج,鸡,chicken,np
99,أنظف,清洁工,cleaner,np
100,مغلق,关闭,closed,adj
101,صودا,苏打水,club soda,np
102,قهوة,咖啡,coffee,np
103,الكولا,可乐,Coke,np
104,دواء للزكام,感冒药,cold medicine,np
105,سعال,咳嗽,cough,np
106,لو سمحتو هل يمكنك أن *؟,可以请你*吗？,Could you please *?,vp
107,هل يمكنك أن تكرر هذا؟,你可以重复一遍吗？,Could you repeat that?,sent
108,بطاقة ائتمان,信用卡,credit card,np
109,ديسمبر,十二月,December,np
110,وديعة,押金,deposit,np
111,إسهال,泻肚子/拉肚子,diarrhoea,np
112,قاموس,词典,dictionary,np
113,ديزل‎ سولار‎ جاز,柴油,diesel,np
114,هل تقبل العملة *؟,你接受*的货币吗？,Do you accept * currency?,vp
115,هل تقبل بطاقات الائتمان؟,你接受信用卡吗？,Do you accept credit cards?,sent
116,هل تقبل الدولار الأمريكي؟,你接受美元吗？,Do you accept US dollars?,sent
117,هل تذهب إلى *؟,去不去*?,Do you go to *?,vp
