en,cn,ar,pos,,
* a.m.,下午*点,* صباحًا,prt,,
* airlines has a flight leaving at *.,*航空公司有一架班机，在*起飞。,* شركة الطيران لديها رحلة مغادرة في *,vp,,
"* and * , please.",请给我*和*。,من فضلك أعطني * و *.,vp,,
* day(s),*天,‏* أيام,prt,,
* dinar,第纳尔,* دينار,prt,,
* dirham,迪拉姆,درهم,prt,,
* dollar(s),美元,* دولار,prt,,
* hour(s),*个小时,‏* ساعة/ساعات,prt,,
* is not working.,坏了,* لا يعمل,vp,,
* minute(s),*分钟,‏* دقيقة/دقائق,prt,,
* month(s),*个月,*  شهر/أشهر,prt,,
* p.m.,上午*点,* مساءً,prt,,
* people,*个人,* أشخاص,prt,,
* people.,四口人。,* أشخاص,sent,,
* pound(s),磅,جنيه,prt,,
* week(s),*个星期,‏* أسبوع/أسابيع,prt,,
* year(s),*年,‏* سنة/سنوات,prt,,
* yuan,*元,* يوان,prt,,
* yuan.,*元。,* يوان,vp,,
a bottle,一瓶,قارورة,np,,
A cleaning fee will be charged if you smoke in this room.,,سيتم فرض رسوم تنظيف إذا دخنت في هذه الغرفة.,vp,,
A cocktail if possible.,如果可能的话来点鸡尾酒吧。,كوكتيل إن أمكن.,sent,,
A cup of coffee for me.,我要一杯咖啡。,كوب من القهوة لي.,sent,,
a glass of wine,一杯酒,كأس من النبيذ,np,,
a pint,一品脱,نصف لتر,np,,
A small cup of strong black coffee without milk or cream.,小杯浓的黑咖啡，不加牛奶和奶油。,كوب صغير من القهوة السوداء القوية بدون حليب أو كريمة.,sent,,
a table for * people,*人的座位,طاولة ل * شخص/أشخاص,np,,
"A table for *, please.",*位。,طاولة ل * شخص من فضلك.,sent,,
A waiter will come to take your order.,服务员会过来为您点餐。,سيأتي النادل لأخذ طلبك.,sent,,
abdomen,腹部,بطن,np,,
able,能干的,قادر,np,,
Abu Dhabi,阿布扎比,أبو ظبي,np,,
Abuja,阿布贾,أبوجا,np,,
academic year,学年,سنة دراسية/عام دراسي,np,,
Accessible Guestroom.,残疾人客房。,غرفة ضيوف يمكن الوصول إليها.,sent,,
accompanying number,偕行人数,رقم مرافقة,np,,
Accra,阿克拉,أكرا,np,,
achievements,业绩,إنجازات,np,,
active,主动的,نشيط,np,,
adaptable,适应性强的,متأقلم,np,,
adapted to,适应于,تكييفها ل,np,,
address,地址,عنوان ,np,,
address while in,前往国家的住址,عنوان في حين,np,,
Adelaide,阿德莱德,أديليد,np,,
adopted daughter,养女,ابنة بالتبني,np,,
adopted son,养子,الابن بالتبني,np,,
Advance Reservations. Can I help you?,这儿预订房间，需要效劳吗?,الحجز المسبق. أيمكنني مساعدتك؟,sent,,
Afghanistan,阿富汗,أفغانستان,np,,
after,之后,بعد,adv,,
"After landing on the airport, you can turn on you cell phone.",飞机降落在机场后，你就能打开手机了。,بعد الهبوط في المطار ، يمكنك تشغيل الهاتف.,sent,,
afternoon,下午,بعد الظهر,np,,
age,年龄,سن,np,,
aggressive,有进取心的,عدواني,np,,
Ahmedabad,艾哈迈达巴德,أحمد أباد,np,,
Air Conditioned.,空调开放。,مكيف,sent,,
air route,航线,طريق جوي,np,,
airbus,空中客车,حافلة هوائية,np,,
airconditioner,空调,مكيف هواء,np,,
airline coach service,航空公司汽车服务处,خدمة مدرب الطيران,np,,
airplane,飞机,طائرة,np,,
airport,机场,مطار,np,,
Airport Bus.,机场巴士。,حافلة المطار,sent,,
airport fee,机场费,رسوم المطار,np,,
Airport Limousine.,机场班车。,ليموزين المطار.,sent,,
airport lounges,机场休息室,صالات المطار,np,,
airport security,机场安检,أمن المطار,np,,
Airport security.,机场安检。,أمن المطار,sent,,
Airport Shuttle.,机场班车。,حافلة المطار,sent,,
airport terminal,机场候机楼,محطة المطار,np,,
airports shuttle,机场班车,حافلة المطار,np,,
airsick,晕机,مصاب بدوار الجو,np,,
"Aisle, please.",靠过道的。,الممر ، من فضلك.,sent,,
Albania,阿尔巴尼亚,ألبانيا,np,,
Aleppo,阿勒颇,حلب,np,,
Alexandria,亚历山大,الإسكندرية,np,,
Algeria,阿尔及利亚,الجزائر,np,,
alias,别名,الاسم المستعار,np,,
All bags-packages and persons are subject to search.,所有行李包裹以及个人一律接受安检。,جميع حزم الحقائب والأشخاص تخضع للبحث.,sent,,
All our rooms are full occupied.,我们所有的房间都满了。,جميع غرفنا مشغولة بالكامل.,sent,,
