,en,cn,ar,pos
0,* a.m.,下午*点,* صباحًا,prt
1,* airlines has a flight leaving at *.,*航空公司有一架班机，在*起飞。,* شركة الطيران لديها رحلة مغادرة في *,vp
2,"* and * , please.",请给我*和*。,من فضلك أعطني * و *.,vp
3,* day(s),*天,‏* أيام,prt
4,* dinar,第纳尔,دينار,prt
5,* dirham,迪拉姆,درهم,prt
6,* dollar(s),美元,دولار,prt
7,* hour(s),*个小时,‏* ساعات,prt
8,* is not working.,坏了,* لا يعمل,vp
9,* minute(s),*分钟,‏* دقائق,prt
10,* month(s),*个月,*  أشهر,prt
11,* p.m.,上午*点,* مساءً,prt
12,* people,*个人,* أشخاص,prt
13,* pound(s),磅,جنيه,prt
14,* week(s),*个星期,‏* أسبوع,prt
15,* year(s),*年,‏* سنوات,prt
16,* yuan,*元,* يوان,prt
17,a bottle,一瓶,قارورة,np
18,A cocktail if possible.,如果可能的话来点鸡尾酒吧。,كوكتيل إن أمكن.,sent
19,A cup of coffee for me.,我要一杯咖啡。,كوب من القهوة لي.,sent
20,a glass of wine,一杯酒,كأس من النبيذ,np
21,a pint,一品脱,نصف لتر,np
22,A small cup of strong black coffee without milk or cream.,小杯浓的黑咖啡，不加牛奶和奶油。,كوب صغير من القهوة السوداء القوية بدون حليب أو كريمة.,sent
23,"A table for *, please.",*位。,طاولة ل * شخص من فضلك.,vp
24,A waiter will come to take your order.,服务员会过来为您点餐。,سيأتي النادل لأخذ طلبك.,sent
25,abdomen,腹部,بطن,np
26,able,能干的,قادر,np
27,Abu Dhabi,阿布扎比,أبو ظبي,np
28,Abuja,阿布贾,أبوجا,np
29,academic year,学年,سنة دراسية/عام دراسي,np
30,Accessible Guestroom.,残疾人客房。,غرفة ضيوف يمكن الوصول إليها.,sent
31,accompanying number,偕行人数,رقم مرافقة,np
32,Accra,阿克拉,أكرا,np
33,achievements,业绩,إنجازات,np
34,active,主动的,نشيط,np
35,adaptable,适应性强的,متأقلم,np
36,adapted to,适应于,تكييفها ل,np
37,address,地址,عنوان ,np
38,address while in,前往国家的住址,عنوان في حين,np
39,Adelaide,阿德莱德,أديليد,np
40,adopted daughter,养女,ابنة بالتبني,np
41,adopted son,养子,الابن بالتبني,np
42,Advance Reservations. Can I help you?,这儿预订房间，需要效劳吗?,الحجز المسبق. أيمكنني مساعدتك؟,sent
43,Afghanistan,阿富汗,أفغانستان,np
44,after,之后,بعد,adv
45,"After landing on the airport, you can turn on you cell phone.",飞机降落在机场后，你就能打开手机了。,بعد الهبوط في المطار ، يمكنك تشغيل الهاتف.,sent
46,afternoon,下午,بعد الظهر,np
47,age,年龄,سن,np
48,aggressive,有进取心的,عدواني,np
49,Ahmedabad,艾哈迈达巴德,أحمد أباد,np
50,Air Conditioned.,空调开放。,مكيف,sent
51,air route,航线,طريق جوي,np
52,airbus,空中客车,حافلة هوائية,np
53,airconditioner,空调,مكيف هواء,np
54,airline coach service,航空公司汽车服务处,خدمة مدرب الطيران,np
55,airplane,飞机,طائرة,np
56,airport,机场,مطار,np
57,Airport Bus.,机场巴士。,حافلة المطار,sent
58,airport fee,机场费,رسوم المطار,np
59,Airport Limousine.,机场班车。,ليموزين المطار.,sent
60,airport lounges,机场休息室,صالات المطار,np
61,airport security,机场安检,أمن المطار,np
62,Airport Shuttle.,机场班车。,حافلة المطار,sent
63,airport terminal,机场候机楼,محطة المطار,np
64,airports shuttle,机场班车,حافلة المطار,np
65,airsick,晕机,مصاب بدوار الجو,np
66,"Aisle, please.",靠过道的。,الممر ، من فضلك.,sent
67,Albania,阿尔巴尼亚,ألبانيا,np
68,Aleppo,阿勒颇,حلب,np
